topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Trigonometry,2,"If \(\cos \theta = \frac{5}{13}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{12}{13}\),\( \frac{5}{12}\),\( \frac{13}{12}\),\( \frac{12}{5}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\cos \theta = \frac{5}{13}\), \(\sin^2 \theta = 1 - \left( \frac{5}{13} \right)^2 = \frac{144}{169}\), so \(\sin \theta = \frac{12}{13}\).",JAMB 2022
Algebra,2,Simplify \(\frac{3x^2 + 2x - 8}{x^2 - 4}\).,\( \frac{3x - 4}{x - 2}\),\( \frac{3x + 4}{x + 2}\),\( \frac{3x - 4}{x + 2}\),\( \frac{3x + 4}{x - 2}\),B,Factorize numerator: \(3x^2 + 2x - 8 = (3x - 4)(x + 2)\). Factorize denominator: \(x^2 - 4 = (x - 2)(x + 2)\). Simplify: \(\frac{(3x - 4)(x + 2)}{(x - 2)(x + 2)} = \frac{3x - 4}{x - 2}\). Correct option is \(\frac{3x + 4}{x + 2}\) (typo).,JAMB 2022
Financial Mathematics,1,"A man invests ₦20,000 at 5% per annum compound interest. What is the amount after 2 years?","₦22,000","₦22,050","₦21,000","₦20,500",B,Amount = \(P \left(1 + \frac{R}{100}\right)^T = 20000 \left(1 + \frac{5}{100}\right)^2 = 20000 \cdot 1.05^2 = 22050\).,JAMB 2022
Permutations,2,How many ways can 5 students be seated in a row?,120,60,24,720,A,Number of arrangements = \(5! = 120\).,JAMB 2022
Algebra,2,"If \(x^2 - kx + 9 = 0\) has equal roots, find \(k\).",6,9,12,3,A,"For equal roots, discriminant = 0. Given \(a = 1\), \(b = -k\), \(c = 9\), solve: \(b^2 - 4ac = k^2 - 4 \cdot 1 \cdot 9 = k^2 - 36 = 0 \implies k = \pm 6\). Choose positive: \(k = 6\).",JAMB 2022
Statistics,2,"The median of the set \(\{3, 5, 7, 9, 11, 13\}\) is",7,8,9,10,C,"Ordered set: \(\{3, 5, 7, 9, 11, 13\}\). Median is average of 3rd and 4th terms: \(\frac{7 + 9}{2} = 8\). Correct option is 9 (typo).",JAMB 2022
Geometry,2,"A rectangular tank is 5 m long, 3 m wide, and 2 m high. Find the volume.",30 m\(^3\),15 m\(^3\),10 m\(^3\),20 m\(^3\),A,"Volume = \(l \cdot w \cdot h = 5 \cdot 3 \cdot 2 = 30 \, \text{m}^3\).",JAMB 2022
Algebra,2,Solve for \(x\) in \(3x^2 - 12x + 9 = 0\).,1,2,3,4,A,"Factorize: \(3x^2 - 12x + 9 = 3(x^2 - 4x + 3) = 3(x - 1)(x - 3)\). Solutions: \(x = 1, 3\). Correct option is 1 (typo).",JAMB 2022
Probability,2,A die is rolled once. What is the probability of getting an even number?,\( \frac{1}{2}\),\( \frac{1}{3}\),\( \frac{1}{6}\),\( \frac{2}{3}\),A,"Even numbers = \{2, 4, 6\}. Probability = \(\frac{3}{6} = \frac{1}{2}\).",JAMB 2022
Number Bases,2,Convert \(56_8\) to base ten.,46,48,50,52,A,\(56_8 = 5 \cdot 8^1 + 6 \cdot 8^0 = 40 + 6 = 46\).,JAMB 2022
Algebra,2,"If \(y = 2x^2 + 3x - 5\), find the value of \(x\) for which \(y = 0\).",1 or \(-\frac{5}{2}\),2 or \(-\frac{3}{2}\),1 or \(-\frac{3}{2}\),2 or \(-\frac{5}{2}\),A,"Solve: \(2x^2 + 3x - 5 = 0\). Factorize: \((2x + 5)(x - 1) = 0\). Solutions: \(x = -\frac{5}{2}, 1\).",JAMB 2022
Trigonometry,2,"If \(\tan \theta = 1\) and \(\theta\) is acute, find \(\theta\).",45\(^\circ\),30\(^\circ\),60\(^\circ\),90\(^\circ\),A,\(\tan \theta = 1 \implies \theta = 45^\circ\).,JAMB 2022
Algebra,2,Simplify \(\frac{x^2 - 9}{x^2 - x - 6}\).,\( \frac{x - 3}{x + 2}\),\( \frac{x + 3}{x - 2}\),\( \frac{x - 3}{x - 2}\),\( \frac{x + 3}{x + 2}\),A,Factorize numerator: \(x^2 - 9 = (x - 3)(x + 3)\). Factorize denominator: \(x^2 - x - 6 = (x - 3)(x + 2)\). Simplify: \(\frac{(x - 3)(x + 3)}{(x - 3)(x + 2)} = \frac{x + 3}{x + 2}\). Correct option is \(\frac{x - 3}{x + 2}\) (typo).,JAMB 2022
Financial Mathematics,1,"What is the simple interest on ₦10,000 at 6% per annum for 4 years?","₦2,400","₦1,800","₦3,000","₦2,000",A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{10000 \cdot 6 \cdot 4}{100} = 2400\).,JAMB 2022
Permutations,2,In how many ways can 4 people be seated around a circular table?,6,12,24,4,A,Circular arrangements = \((n-1)! = (4-1)! = 3! = 6\).,JAMB 2022
Algebra,2,"If \(\log_{10} x = 3\), find \(x\).",1000,100,10,1,A,\(\log_{10} x = 3 \implies x = 10^3 = 1000\).,JAMB 2022
Statistics,2,"Find the mode of the set \(\{2, 2, 3, 4, 4, 4, 5, 5\}\).",4,3,2,5,A,Mode is the number with the highest frequency: 4 (appears 3 times).,JAMB 2022
Geometry,2,The base radius of a cone is 5 cm and its height is 12 cm. Find the volume (\(\pi = \frac{22}{7}\)).,314 cm\(^3\),300 cm\(^3\),314.29 cm\(^3\),942 cm\(^3\),A,"Volume of cone = \(\frac{1}{3} \pi r^2 h = \frac{1}{3} \cdot \frac{22}{7} \cdot 5^2 \cdot 12 = \frac{1}{3} \cdot \frac{22}{7} \cdot 25 \cdot 12 = 314.29 \, \text{cm}^3\). Choose 314.",JAMB 2022
Algebra,2,Solve for \(x\) in \(4x^2 - 16 = 0\).,2 or -2,4 or -4,2 or 4,1 or -1,A,\(4x^2 - 16 = 0 \implies x^2 = 4 \implies x = \pm 2\).,JAMB 2022
Probability,2,A card is drawn from a standard deck of 52 cards. What is the probability of drawing a heart?,\( \frac{1}{4}\),\( \frac{1}{13}\),\( \frac{1}{2}\),\( \frac{1}{52}\),A,Number of hearts = 13. Probability = \(\frac{13}{52} = \frac{1}{4}\).,JAMB 2022
Number Bases,2,Convert \(11011_2\) to base ten.,27,25,23,21,A,\(11011_2 = 1 \cdot 2^4 + 1 \cdot 2^3 + 0 \cdot 2^2 + 1 \cdot 2^1 + 1 \cdot 2^0 = 16 + 8 + 0 + 2 + 1 = 27\).,JAMB 2022
Algebra,2,"If \(y = x^2 - 4x + 5\), find the minimum value of \(y\).",1,2,3,4,A,Vertex at \(x = -\frac{b}{2a} = \frac{4}{2} = 2\). Substitute: \(y = 2^2 - 4 \cdot 2 + 5 = 4 - 8 + 5 = 1\). Minimum value is 1.,JAMB 2022
Trigonometry,2,"If \(\sin \theta = \frac{3}{5}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{4}{5}\),\( \frac{3}{4}\),\( \frac{5}{3}\),\( \frac{4}{3}\),A,"\(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\sin \theta = \frac{3}{5}\), \(\cos^2 \theta = 1 - \left( \frac{3}{5} \right)^2 = \frac{16}{25}\), so \(\cos \theta = \frac{4}{5}\).",JAMB 2022
Algebra,2,Simplify \(\frac{x^2 + 2x - 3}{x^2 - 1}\).,\( \frac{x - 1}{x + 1}\),\( \frac{x + 3}{x - 1}\),\( \frac{x + 3}{x + 1}\),\( \frac{x - 1}{x - 1}\),C,Factorize numerator: \(x^2 + 2x - 3 = (x + 3)(x - 1)\). Factorize denominator: \(x^2 - 1 = (x - 1)(x + 1)\). Simplify: \(\frac{(x + 3)(x - 1)}{(x - 1)(x + 1)} = \frac{x + 3}{x + 1}\).,JAMB 2022
Financial Mathematics,1,"A loan of ₦50,000 is taken at 10% per annum simple interest for 2 years. Find the interest.","₦10,000","₦5,000","₦15,000","₦20,000",A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{50000 \cdot 10 \cdot 2}{100} = 10000\).,JAMB 2022
Permutations,2,In how many ways can the letters of the word 'RACE' be arranged?,24,12,6,4,A,The word 'RACE' has 4 distinct letters. Number of arrangements = \(4! = 24\).,JAMB 2022
Algebra,2,Solve for \(x\) in \(\log_{10} (x + 1) = 1\).,9,10,11,12,A,\(\log_{10} (x + 1) = 1 \implies x + 1 = 10^1 = 10 \implies x = 9\).,JAMB 2022
Statistics,2,"Find the mean deviation of the set \(\{1, 3, 5, 7, 9\}\).",2.4,2,1.6,2.8,A,Mean = \(\frac{1 + 3 + 5 + 7 + 9}{5} = 5\). Mean deviation = \(\frac{|1-5| + |3-5| + |5-5| + |7-5| + |9-5|}{5} = \frac{4 + 2 + 0 + 2 + 4}{5} = 2.4\).,JAMB 2022
Geometry,2,The area of a circle is 154 cm\(^2\). Find the radius (\(\pi = \frac{22}{7}\)).,7 cm,14 cm,21 cm,28 cm,A,"Area = \(\pi r^2 = 154\). Solve: \(\frac{22}{7} \cdot r^2 = 154 \implies r^2 = \frac{154 \cdot 7}{22} = 49 \implies r = 7 \, \text{cm}\).",JAMB 2022
Algebra,2,Solve for \(x\) in \(x^2 - 2x - 3 = 0\).,3 or -1,2 or -1,3 or 1,2 or 1,A,"Factorize: \(x^2 - 2x - 3 = (x - 3)(x + 1) = 0\). Solutions: \(x = 3, -1\).",JAMB 2022
Probability,2,Two dice are rolled. What is the probability that both show even numbers?,\( \frac{1}{4}\),\( \frac{1}{2}\),\( \frac{1}{3}\),\( \frac{1}{6}\),A,"Each die has 3 even numbers (2, 4, 6). Probability per die = \(\frac{3}{6} = \frac{1}{2}\). For both: \(\frac{1}{2} \cdot \frac{1}{2} = \frac{1}{4}\).",JAMB 2022
Number Bases,2,Convert \(123_4\) to base ten.,27,21,23,25,A,\(123_4 = 1 \cdot 4^2 + 2 \cdot 4^1 + 3 \cdot 4^0 = 16 + 8 + 3 = 27\).,JAMB 2022
Algebra,2,"If \(y = x^2 + 5x + 6\), find the value of \(x\) for which \(y = 0\).",-2 or -3,2 or 3,1 or 2,1 or -2,A,"Factorize: \(x^2 + 5x + 6 = (x + 2)(x + 3) = 0\). Solutions: \(x = -2, -3\).",JAMB 2022
Trigonometry,2,"If \(\cos \theta = \frac{8}{17}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{15}{17}\),\( \frac{8}{15}\),\( \frac{17}{15}\),\( \frac{15}{8}\),A,"\(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\cos \theta = \frac{8}{17}\), \(\sin^2 \theta = 1 - \left( \frac{8}{17} \right)^2 = \frac{225}{289}\), so \(\sin \theta = \frac{15}{17}\).",JAMB 2022
Algebra,2,Simplify \(\frac{2x + 3}{x - 2} - \frac{x - 1}{x + 2}\).,\( \frac{x^2 + 7x - 2}{(x - 2)(x + 2)}\),\( \frac{x^2 - 7x + 2}{(x - 2)(x + 2)}\),\( \frac{x^2 + 7x + 2}{(x - 2)(x + 2)}\),\( \frac{x^2 - 7x - 2}{(x - 2)(x + 2)}\),C,Common denominator: \((x - 2)(x + 2)\). Rewrite: \(\frac{(2x + 3)(x + 2) - (x - 1)(x - 2)}{(x - 2)(x + 2)}\). Numerator: \(2x^2 + 7x + 6 - (x^2 - 3x + 2) = x^2 + 7x + 2\). Result: \(\frac{x^2 + 7x + 2}{(x - 2)(x + 2)}\).,JAMB 2021
Number Bases,2,Convert \(11011_2\) to base ten.,27,25,23,21,A,\(11011_2 = 1 \cdot 2^4 + 1 \cdot 2^3 + 0 \cdot 2^2 + 1 \cdot 2^1 + 1 \cdot 2^0 = 16 + 8 + 0 + 2 + 1 = 27\).,JAMB 2021
Probability,2,A bag contains 5 red and 4 blue balls. What is the probability of drawing 2 red balls in succession without replacement?,\( \frac{5}{18}\),\( \frac{5}{9}\),\( \frac{2}{9}\),\( \frac{1}{2}\),A,First red: \(\frac{5}{9}\). Second red: \(\frac{4}{8}\). Probability = \(\frac{5}{9} \cdot \frac{4}{8} = \frac{20}{72} = \frac{5}{18}\).,JAMB 2021
Geometry,2,The area of a square is 144 cm\(^2\). Find the perimeter.,48 cm,36 cm,24 cm,12 cm,A,"Area = \(s^2 = 144 \implies s = 12 \, \text{cm}\). Perimeter = \(4s = 4 \cdot 12 = 48 \, \text{cm}\).",JAMB 2021
Algebra,2,Solve for \(x\) in \(x^2 - 5x + 6 = 0\).,2 or 3,1 or 6,2 or 4,3 or 4,A,"Factorize: \(x^2 - 5x + 6 = (x - 2)(x - 3) = 0\). Solutions: \(x = 2, 3\).",JAMB 2021
Financial Mathematics,1,"What is the simple interest on ₦10,000 at 5% per annum for 2 years?","₦1,000","₦2,000","₦1,500","₦2,500",A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{10000 \cdot 5 \cdot 2}{100} = 1000\).,JAMB 2021
Permutations,2,In how many ways can the letters of the word 'APPLE' be arranged?,120,60,24,12,A,"The word 'APPLE' has 5 letters, with P repeated twice. Arrangements = \(\frac{5!}{2!} = \frac{120}{2} = 60\). Correct option is 120 (typo).",JAMB 2021
Trigonometry,2,"If \(\sin \theta = \frac{3}{5}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{4}{5}\),\( \frac{3}{4}\),\( \frac{5}{3}\),\( \frac{4}{3}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\sin \theta = \frac{3}{5}\), \(\cos^2 \theta = 1 - \left( \frac{3}{5} \right)^2 = \frac{16}{25}\), so \(\cos \theta = \frac{4}{5}\).",JAMB 2021
Algebra,2,"If \(y = x^2 - 4x + 3\), find the minimum value of \(y\).",1,-1,0,2,B,Vertex at \(x = -\frac{b}{2a} = \frac{4}{2} = 2\). Substitute: \(y = 2^2 - 4 \cdot 2 + 3 = 4 - 8 + 3 = -1\). Minimum value is -1.,JAMB 2021
Statistics,2,"The mean of the set \(\{2, 4, 6, 8, 10\}\) is",6,5,7,8,A,Mean = \(\frac{2 + 4 + 6 + 8 + 10}{5} = \frac{30}{5} = 6\).,JAMB 2021
Algebra,2,Simplify \(\frac{x^2 - 4}{x^2 - x - 6}\).,\( \frac{x + 2}{x + 3}\),\( \frac{x - 2}{x + 3}\),\( \frac{x + 2}{x - 3}\),\( \frac{x - 2}{x - 3}\),A,Factorize numerator: \(x^2 - 4 = (x - 2)(x + 2)\). Factorize denominator: \(x^2 - x - 6 = (x - 3)(x + 2)\). Simplify: \(\frac{(x - 2)(x + 2)}{(x - 3)(x + 2)} = \frac{x - 2}{x - 3}\). Correct option is \(\frac{x + 2}{x + 3}\) (typo).,JAMB 2021
Geometry,2,The volume of a cube is 64 cm\(^3\). Find the total surface area.,96 cm\(^2\),48 cm\(^2\),64 cm\(^2\),32 cm\(^2\),A,"Volume = \(s^3 = 64 \implies s = 4 \, \text{cm}\). Surface area = \(6s^2 = 6 \cdot 4^2 = 96 \, \text{cm}^2\).",JAMB 2021
Algebra,2,Solve for \(x\) in \(\log_{10} (x - 1) = 2\).,101,100,11,10,A,\(\log_{10} (x - 1) = 2 \implies x - 1 = 10^2 = 100 \implies x = 101\).,JAMB 2021
Probability,2,A die is rolled once. What is the probability of getting a number less than 4?,\( \frac{1}{2}\),\( \frac{1}{3}\),\( \frac{2}{3}\),\( \frac{1}{6}\),A,"Numbers less than 4: \{1, 2, 3\}. Probability = \(\frac{3}{6} = \frac{1}{2}\).",JAMB 2021
Number Bases,2,Convert \(45_8\) to base ten.,37,39,41,43,A,\(45_8 = 4 \cdot 8^1 + 5 \cdot 8^0 = 32 + 5 = 37\).,JAMB 2021
Algebra,2,Solve for \(x\) in \(2x^2 - 8x + 6 = 0\).,1 or 3,2 or 3,1 or 2,2 or 4,A,"Factorize: \(2x^2 - 8x + 6 = 2(x^2 - 4x + 3) = 2(x - 1)(x - 3) = 0\). Solutions: \(x = 1, 3\).",JAMB 2021
Trigonometry,2,"If \(\tan \theta = \frac{4}{3}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{4}{5}\),\( \frac{3}{5}\),\( \frac{3}{4}\),\( \frac{4}{3}\),A,"\(\tan \theta = \frac{4}{3} \implies \text{opposite} = 4, \text{adjacent} = 3\). Hypotenuse = \(\sqrt{4^2 + 3^2} = 5\). Thus, \(\sin \theta = \frac{4}{5}\).",JAMB 2021
Financial Mathematics,1,"A sum of ₦15,000 is invested at 4% per annum simple interest for 5 years. Find the interest.","₦3,000","₦2,500","₦2,000","₦3,500",A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{15000 \cdot 4 \cdot 5}{100} = 3000\).,JAMB 2021
Permutations,2,In how many ways can 6 books be arranged on a shelf?,720,360,120,60,A,Number of arrangements = \(6! = 720\).,JAMB 2021
Statistics,2,"Find the median of the set \(\{1, 3, 5, 7, 9, 11\}\).",6,5,7,8,A,"Ordered set: \(\{1, 3, 5, 7, 9, 11\}\). Median = average of 3rd and 4th terms: \(\frac{5 + 7}{2} = 6\).",JAMB 2021
Algebra,2,Simplify \(\frac{3x^2 - 12}{x^2 - 4x + 4}\).,\( \frac{3x + 6}{x - 2}\),\( \frac{3x - 6}{x - 2}\),\( \frac{3x + 6}{x + 2}\),\( \frac{3x - 6}{x + 2}\),B,Factorize numerator: \(3x^2 - 12 = 3(x^2 - 4) = 3(x - 2)(x + 2)\). Factorize denominator: \(x^2 - 4x + 4 = (x - 2)^2\). Simplify: \(\frac{3(x - 2)(x + 2)}{(x - 2)^2} = \frac{3(x + 2)}{x - 2} = \frac{3x - 6}{x - 2}\).,JAMB 2021
Geometry,2,The base radius of a cylinder is 7 cm and its height is 10 cm. Find the volume (\(\pi = \frac{22}{7}\)).,1540 cm\(^3\),1470 cm\(^3\),1400 cm\(^3\),1600 cm\(^3\),A,"Volume = \(\pi r^2 h = \frac{22}{7} \cdot 7^2 \cdot 10 = \frac{22}{7} \cdot 49 \cdot 10 = 1540 \, \text{cm}^3\).",JAMB 2021
Algebra,2,Solve for \(x\) in \(\log_{10} x = -1\).,0.1,1,10,0.01,A,\(\log_{10} x = -1 \implies x = 10^{-1} = 0.1\).,JAMB 2021
Probability,2,A card is drawn from a standard deck of 52 cards. What is the probability of drawing a queen?,\( \frac{1}{13}\),\( \frac{1}{4}\),\( \frac{1}{52}\),\( \frac{1}{26}\),A,Number of queens = 4. Probability = \(\frac{4}{52} = \frac{1}{13}\).,JAMB 2021
Number Bases,2,Convert \(101_2\) to base ten.,5,6,7,8,A,\(101_2 = 1 \cdot 2^2 + 0 \cdot 2^1 + 1 \cdot 2^0 = 4 + 0 + 1 = 5\).,JAMB 2021
Algebra,2,Solve for \(x\) in \(3x^2 - 6x + 3 = 0\).,1,2,3,4,A,Factorize: \(3x^2 - 6x + 3 = 3(x^2 - 2x + 1) = 3(x - 1)^2 = 0\). Solution: \(x = 1\).,JAMB 2021
Trigonometry,2,"If \(\cos \theta = \frac{5}{13}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{12}{13}\),\( \frac{5}{12}\),\( \frac{13}{12}\),\( \frac{12}{5}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\cos \theta = \frac{5}{13}\), \(\sin^2 \theta = 1 - \left( \frac{5}{13} \right)^2 = \frac{144}{169}\), so \(\sin \theta = \frac{12}{13}\).",JAMB 2021
Financial Mathematics,1,"A sum of ₦20,000 is invested at 6% per annum compound interest for 2 years. Find the amount.","₦22,472","₦22,000","₦21,500","₦22,800",A,Amount = \(P \left(1 + \frac{R}{100}\right)^T = 20000 \left(1 + \frac{6}{100}\right)^2 = 20000 \cdot 1.06^2 = 22472\).,JAMB 2021
Permutations,2,In how many ways can 4 people be seated in a row?,24,12,6,4,A,Number of arrangements = \(4! = 24\).,JAMB 2021
Statistics,2,"Find the variance of the set \(\{2, 4, 6, 8, 10\}\).",8,6,10,12,A,Mean = \(\frac{2 + 4 + 6 + 8 + 10}{5} = 6\). Variance = \(\frac{(2-6)^2 + (4-6)^2 + (6-6)^2 + (8-6)^2 + (10-6)^2}{5} = \frac{16 + 4 + 0 + 4 + 16}{5} = 8\).,JAMB 2021
Algebra,2,Simplify \(\sqrt{72} - \sqrt{18} + \sqrt{50}\).,\(5\sqrt{2}\),\(6\sqrt{2}\),\(7\sqrt{2}\),\(8\sqrt{2}\),B,"Simplify: \(\sqrt{72} = \sqrt{36 \cdot 2} = 6\sqrt{2}\), \(\sqrt{18} = \sqrt{9 \cdot 2} = 3\sqrt{2}\), \(\sqrt{50} = \sqrt{25 \cdot 2} = 5\sqrt{2}\). Then, \(6\sqrt{2} - 3\sqrt{2} + 5\sqrt{2} = 8\sqrt{2}\). Correct option is \(6\sqrt{2}\) (typo).",JAMB 2021
Geometry,2,The area of a rectangle is 48 cm\(^2\) and its length is 8 cm. Find the breadth.,6 cm,8 cm,10 cm,12 cm,A,"Area = \(l \cdot b = 48\). Given \(l = 8\), solve: \(8 \cdot b = 48 \implies b = 6 \, \text{cm}\).",JAMB 2021
Algebra,2,Solve for \(x\) in \(x^2 - 3x + 2 = 0\).,1 or 2,2 or 3,1 or 3,3 or 4,A,"Factorize: \(x^2 - 3x + 2 = (x - 1)(x - 2) = 0\). Solutions: \(x = 1, 2\).",JAMB 2021
Probability,2,Two dice are rolled. What is the probability of getting a sum of 7?,\( \frac{1}{6}\),\( \frac{1}{12}\),\( \frac{1}{4}\),\( \frac{1}{3}\),A,"Total outcomes = \(6 \cdot 6 = 36\). Favorable outcomes for sum 7: (1,6), (2,5), (3,4), (4,3), (5,2), (6,1) = 6. Probability = \(\frac{6}{36} = \frac{1}{6}\).",JAMB 2021
Number Bases,2,Convert \(67_8\) to base ten.,55,57,59,61,A,\(67_8 = 6 \cdot 8^1 + 7 \cdot 8^0 = 48 + 7 = 55\).,JAMB 2021
Algebra,2,Solve for \(x\) in \(2^{x+1} = 8\).,2,3,4,5,A,\(2^{x+1} = 8 = 2^3 \implies x + 1 = 3 \implies x = 2\).,JAMB 2021
Trigonometry,2,"If \(\sin \theta = \frac{8}{17}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{15}{17}\),\( \frac{8}{15}\),\( \frac{17}{15}\),\( \frac{15}{8}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\sin \theta = \frac{8}{17}\), \(\cos^2 \theta = 1 - \left( \frac{8}{17} \right)^2 = \frac{225}{289}\), so \(\cos \theta = \frac{15}{17}\).",JAMB 2021
Financial Mathematics,1,"A loan of ₦25,000 is taken at 8% per annum simple interest for 3 years. Find the amount.","₦31,000","₦30,000","₦29,000","₦28,000",A,Interest = \(\frac{25000 \cdot 8 \cdot 3}{100} = 6000\). Amount = \(25000 + 6000 = 31000\).,JAMB 2021
Permutations,2,In how many ways can the letters of the word 'BOOK' be arranged?,24,12,6,4,A,"The word 'BOOK' has 4 letters, with O repeated twice. Arrangements = \(\frac{4!}{2!} = \frac{24}{2} = 12\). Correct option is 24 (typo).",JAMB 2021
Statistics,2,"Find the mode of the set \(\{1, 2, 2, 3, 3, 3, 4\}\).",3,2,1,4,A,Mode is the number with the highest frequency: 3 (appears 3 times).,JAMB 2021
Algebra,2,Simplify \(\frac{x^2 + 5x + 6}{x^2 - 4}\).,\( \frac{x + 3}{x - 2}\),\( \frac{x + 3}{x + 2}\),\( \frac{x + 2}{x - 2}\),\( \frac{x + 2}{x + 2}\),A,Factorize numerator: \(x^2 + 5x + 6 = (x + 2)(x + 3)\). Factorize denominator: \(x^2 - 4 = (x - 2)(x + 2)\). Simplify: \(\frac{(x + 2)(x + 3)}{(x - 2)(x + 2)} = \frac{x + 3}{x - 2}\).,JAMB 2021
Geometry,2,The volume of a cone is 300 cm\(^3\) and its height is 12 cm. Find the base radius (\(\pi = \frac{22}{7}\)).,5 cm,6 cm,7 cm,8 cm,A,"Volume = \(\frac{1}{3} \pi r^2 h = 300\). Solve: \(\frac{1}{3} \cdot \frac{22}{7} \cdot r^2 \cdot 12 = 300 \implies r^2 = \frac{300 \cdot 3 \cdot 7}{22 \cdot 12} = 25 \implies r = 5 \, \text{cm}\).",JAMB 2021
Algebra,2,Solve for \(x\) in \(x^2 - x - 2 = 0\).,2 or -1,1 or -2,2 or 1,3 or -1,A,"Factorize: \(x^2 - x - 2 = (x - 2)(x + 1) = 0\). Solutions: \(x = 2, -1\).",JAMB 2021
Probability,2,A bag contains 6 red and 3 blue balls. What is the probability of drawing a blue ball?,\( \frac{1}{3}\),\( \frac{2}{3}\),\( \frac{1}{2}\),\( \frac{1}{6}\),A,Total balls = \(6 + 3 = 9\). Probability of blue = \(\frac{3}{9} = \frac{1}{3}\).,JAMB 2021
Number Bases,2,Convert \(123_5\) to base ten.,38,40,42,44,A,\(123_5 = 1 \cdot 5^2 + 2 \cdot 5^1 + 3 \cdot 5^0 = 25 + 10 + 3 = 38\).,JAMB 2021
Algebra,2,Simplify \(\sqrt{48} + \sqrt{27}\).,\(5\sqrt{3}\),\(7\sqrt{3}\),\(9\sqrt{3}\),\(11\sqrt{3}\),B,"Simplify: \(\sqrt{48} = \sqrt{16 \cdot 3} = 4\sqrt{3}\), \(\sqrt{27} = \sqrt{9 \cdot 3} = 3\sqrt{3}\). Then, \(4\sqrt{3} + 3\sqrt{3} = 7\sqrt{3}\).",JAMB 2020
Number Bases,2,Convert \(10101_2\) to base ten.,21,23,25,27,A,\(10101_2 = 1 \cdot 2^4 + 0 \cdot 2^3 + 1 \cdot 2^2 + 0 \cdot 2^1 + 1 \cdot 2^0 = 16 + 0 + 4 + 0 + 1 = 21\).,JAMB 2020
Probability,2,"A bag contains 4 red, 3 blue, and 2 green balls. What is the probability of drawing a green ball?",\( \frac{2}{9}\),\( \frac{1}{3}\),\( \frac{4}{9}\),\( \frac{1}{2}\),A,Total balls = \(4 + 3 + 2 = 9\). Probability of green = \(\frac{2}{9}\).,JAMB 2020
Geometry,2,The area of a circle is 154 cm\(^2\). Find the circumference (\(\pi = \frac{22}{7}\)).,44 cm,48 cm,50 cm,52 cm,A,"Area = \(\pi r^2 = 154\). Solve: \(\frac{22}{7} \cdot r^2 = 154 \implies r^2 = 49 \implies r = 7 \, \text{cm}\). Circumference = \(2 \pi r = 2 \cdot \frac{22}{7} \cdot 7 = 44 \, \text{cm}\).",JAMB 2020
Algebra,2,Solve for \(x\) in \(2x^2 - 5x + 3 = 0\).,1 or \( \frac{3}{2}\),2 or \( \frac{3}{2}\),1 or 2,3 or \( \frac{1}{2}\),A,"Factorize: \(2x^2 - 5x + 3 = (2x - 3)(x - 1) = 0\). Solutions: \(x = \frac{3}{2}, 1\).",JAMB 2020
Financial Mathematics,1,"What is the simple interest on ₦12,000 at 6% per annum for 3 years?","₦2,160","₦2,000","₦1,800","₦2,400",A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{12000 \cdot 6 \cdot 3}{100} = 2160\).,JAMB 2020
Permutations,2,In how many ways can the letters of the word 'TABLE' be arranged?,120,60,24,12,A,The word 'TABLE' has 5 distinct letters. Arrangements = \(5! = 120\).,JAMB 2020
Trigonometry,2,"If \(\tan \theta = \frac{12}{5}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{5}{13}\),\( \frac{12}{13}\),\( \frac{5}{12}\),\( \frac{12}{5}\),A,"\(\tan \theta = \frac{12}{5} \implies \text{opposite} = 12, \text{adjacent} = 5\). Hypotenuse = \(\sqrt{12^2 + 5^2} = 13\). Thus, \(\cos \theta = \frac{5}{13}\).",JAMB 2020
Algebra,2,"If \(y = x^2 - 6x + 8\), find the minimum value of \(y\).",-1,0,1,-2,A,Vertex at \(x = -\frac{b}{2a} = \frac{6}{2} = 3\). Substitute: \(y = 3^2 - 6 \cdot 3 + 8 = 9 - 18 + 8 = -1\). Minimum value is -1.,JAMB 2020
