question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
PHY-0104,JAMB,Physics,Mechanics,Elastic Potential Energy,hard,2025,,"When a spiral spring is compressed by an external force of \(200\text{N}\), it stores \(0.16\text{J}\) of energy. What amount of energy will it store when compressed by an external force of \(700\text{N}\)?",,\(1.12\text{J}\),\(0.48\text{J}\),\(1.96\text{J}\),\(0.84\text{J}\),C,,jamb|2025,past-question,active
PHY-0105,JAMB,Physics,Mechanics,Friction,medium,2025,,A block with an initial speed of \(10\text{m/s}\) slides on a horizontal surface and comes to rest after travelling a distance of \(25\text{m}\). What is the coefficient of kinetic friction between the block and the surface? (Take \(g = 9.8\text{m/s}^2\)),,\(0.1\),\(0.3\),\(0.2\),\(0.5\),C,,jamb|2025,past-question,active
PHY-0106,JAMB,Physics,Modern Physics,Lasers,easy,2025,,Which light source operates primarily based on stimulated emission of radiation?,,Laser,Fluorescent lamp,LED,Incandescent bulb,A,,jamb|2025,past-question,active
CHM-0003,JAMB,Chemistry,Chemical Bonding,Lone Pairs,medium,2025,,The molecule with the highest number of lone pair of electrons is,,\(H_2O\),\(NH_3\),\(CH_4\),\(CO_2\),D,,jamb|2025,past-question,active
CHM-0004,JAMB,Chemistry,Organic Chemistry,Petroleum,medium,2025,,The composition of petroleum varies because it is a,,hydrocarbon,liquid,mixture,natural resource,C,,jamb|2025,past-question,active
CHM-0005,JAMB,Chemistry,Organic Chemistry,Esterification,medium,2025,,The table below shows four organic compounds.<table><tr><th>Compound</th><th>Name</th></tr><tr><td>I</td><td>Ethanoic acid</td></tr><tr><td>II</td><td>Methane</td></tr><tr><td>III</td><td>Sodium hydroxide</td></tr><tr><td>IV</td><td>Ethanol</td></tr></table> The two compounds that will combine in the presence of an acid catalyst to form an ester are,,I and IV,III and IV,I and II,II and III,A,"Esterification is the reaction between a carboxylic acid (I, ethanoic acid) and an alcohol (IV, ethanol) in the presence of an acid catalyst, producing an ester and water.",jamb|2025,past-question,active
CHM-0006,JAMB,Chemistry,Gases,Alkaline Gases,medium,2025,,An example of an alkaline gas is,,HCl,\(N_2\),\(NH_3\),\(NO_2\),C,,jamb|2025,past-question,active
CHM-0007,JAMB,Chemistry,Solutions and Mixtures,Suspensions and Dispersions,medium,2025,,The dusty and sand particles present in the air is an example of,,a suspension,a dispersion,an emulsion,a saturated solution,A,,jamb|2025,past-question,active
CHM-0008,JAMB,Chemistry,Transition Metals,Catalysis,medium,2025,,The property of metal that makes it suitable as a catalyst is,,filled f-orbital,partially filled d-orbitals,partially filled f-orbital,filled d-orbital,B,,jamb|2025,past-question,active
CHM-0009,JAMB,Chemistry,Thermodynamics,Spontaneity of Reactions,medium,2025,,"When \(\Delta H\) is positive and small, and \(\Delta S\) is positive and large, the reaction will be",,Non-spontaneous,favour forward reaction only,favour backward reaction only,spontaneous,D,,jamb|2025,past-question,active
CHM-0010,JAMB,Chemistry,Acids/Bases/Salts,pH Calculations,medium,2025,,Calculate the pH of 0.001M \(KOH\) solution.,,11,14,12,3,A,,jamb|2025,past-question,active
CHM-0011,JAMB,Chemistry,Acids/Bases/Salts,Organic Acids,medium,2025,,The acid used in making baking soda and soft drink is,,tartaric acid,fatty acid,boric acid,citric acid,A,,jamb|2025,past-question,active
CHM-0012,JAMB,Chemistry,Chemical Equilibrium,Le Chatelier's Principle,medium,2025,,"\(NH_3(g) + HCl(g) \rightarrow NH_4Cl(g)\)

In the reaction above, increase in pressure will",,lower the equilibrium constant,favour the product,favour the reactant,increase the equilibrium constant,B,,jamb|2025,past-question,active
CHM-0013,JAMB,Chemistry,Organic Chemistry,Amines,medium,2025,,The compound \(CH_3CH(NH_2)CH_2CH_2CH_3\) is an example of a,,primary amine,tertiary amine,quaternary amine,secondary amine,A,,jamb|2025,past-question,active
CHM-0014,JAMB,Chemistry,Gases,Nitrogen and Compounds,medium,2025,,"Nitrogen, a component of air is used for",,production of cooling agent,production of margarine,production of \(HNO_3\),manufacturing of oil,C,,jamb|2025,past-question,active
CHM-0015,JAMB,Chemistry,Redox Reactions,Oxidation and Reduction,medium,2025,,"\(2Na + Cl_2 \rightarrow 2NaCl\)

In the reaction above, the specie that undergoes reduction is",,Na,NaCl,\(Cl^-\),\(Cl_2\),D,,jamb|2025,past-question,active
CHM-0016,JAMB,Chemistry,States of Matter,Sublimation,medium,2025,,The sublimation of solid to gas involves,,energy absorption,vapourization,melting,osmotic diffusion,A,,jamb|2025,past-question,active
CHM-0017,JAMB,Chemistry,Gases,Nitrogen Compounds,medium,2025,,The products of the thermal decomposition of ammonium trioxonitrate(v) are,,\(N_2O\) and \(H_2O\),\(NO_2\) and \(H_2O\),\(N_2O\) and \(O_2\),\(NO_3\) and \(H_2O\),A,,jamb|2025,past-question,active
CHM-0018,JAMB,Chemistry,Periodicity,Group 1 Metals,medium,2025,,"\(2X + 2HCl \rightarrow 2XCl + H_2\)

In the equation above, X is",,K,Mg,Ca,Ba,A,,jamb|2025,past-question,active
CHM-0019,JAMB,Chemistry,Organic Chemistry,Carboxylic Acids,medium,2025,,Alkanoic acids have higher boiling points than alkanols because,,alkanoic acids are more volatile than alkanols,alkanols are more polar than alkanoic acids,alkanoic acids are larger molecules,alkanoic acids form stronger hydrogen bonds,D,,jamb|2025,past-question,active
CHM-0020,JAMB,Chemistry,Chemical Bonding,Intermolecular Forces,medium,2025,,Water drops are spherical in shape because of,,polarity,viscocity,density,surface tension,D,,jamb|2025,past-question,active
CHM-0021,JAMB,Chemistry,Electrochemistry,Electrolysis,medium,2025,,"In the electrolysis of brine using neutral electrode, which ion is discharged at the anode?",,\(2H^+\),\(Na^+\),\(Cl^-\),\(OH^-\),C,,jamb|2025,past-question,active
CHM-0022,JAMB,Chemistry,Electrochemistry,Faraday's Laws,medium,2025,,The time required to deposit 4.5g of copper from \(CuSO_4\) solution by passing a current of 2.5 Amperes is (Cu = 64g ; 1F = 96500C/mol),,2714 sec,2527 sec,5428 sec,6785 sec,C,\(Q = It\); mass \(4.5g \times \frac{2 \times 96500}{64} = 13570.3C\); \(t = \frac{13570.3}{2.5} \approx 5428\) sec.,jamb|2025,past-question,active
CHM-0023,JAMB,Chemistry,Periodicity,Diagonal Relationship,medium,2025,,Which of the following pairs of elements will exhibit diagonal relationship?,,Be and Si,Na and Be,Li and Al,B and Si,D,,jamb|2025,past-question,active
CHM-0024,JAMB,Chemistry,Environmental Chemistry,Water Pollution,medium,2025,,The following is not a water pollutant?,,warm water affluent,inorganic fertilizers,oxygen gas,biodegradable waste,C,,jamb|2025,past-question,active
CHM-0025,JAMB,Chemistry,Acids/Bases/Salts,Acid Radicals,medium,2025,,Acid radicals are present in,,"\(CO_3^{2-}\), \(PO_4^{3-}\), \(Mg^{2+}\)","\(CO_3^{2-}\), \(SO_4^{2-}\), \(Na^+\)","\(CO_3^{2-}\), \(SO_4^{2-}\), \(NO_3^-\)","\(CO_3^{2-}\), \(SO_4^{2-}\), \(K^+\)",C,,jamb|2025,past-question,active
CHM-0026,JAMB,Chemistry,Chemical Bonding,Covalent Bonding,medium,2025,,What accounts for the low melting and boiling points of covalent molecules?,,They have weak intermolecular forces,They have definite shapes,They are three dimensional structures,They possess shared electron pairs,A,,jamb|2025,past-question,active
CHM-0027,JAMB,Chemistry,Metallurgy,Extraction of Iron,medium,2025,,Iron produced directly from a blast furnace is,,wrought iron,cast iron,pig iron,carbon steel,C,,jamb|2025,past-question,active
CHM-0028,JAMB,Chemistry,Stoichiometry,Molar Mass,medium,2025,,"What is the molecular mass of an alkanoic acid, if 0.5 mole of the acid weighs 44g?",,72,88,60,46,B,Molar mass \(= \frac{44g}{0.5\ mol} = 88\ g/mol\).,jamb|2025,past-question,active
CHM-0029,JAMB,Chemistry,Organic Chemistry,Alkenes,medium,2025,,Alkenes are represented with the general molecular formula,,\(C_nH_{2n}\),\(C_nH_{2n-2}\),\(C_nH_{2n+2}\),\(C_nH_{2n+1}OH\),A,,jamb|2025,past-question,active
CHM-0030,JAMB,Chemistry,Organic Chemistry,Addition Reactions,medium,2025,,The major product when 2-methylpropene reacts with HCl is,,"2-chloro, 2-methylpropane","1-chloro,2-methylpropane","3-chloro, 2-methylpropane","2-chloro,3-methylbutane",A,,jamb|2025,past-question,active
CHM-0031,JAMB,Chemistry,Gases,Chlorine Preparation,medium,2025,,"In the laboratory preparation of Chlorine, the gas is passed through a wash bottle of water to",,dilute it,absorb HCl gas,neutralize it,absorb the \(Cl_2\) gas,B,,jamb|2025,past-question,active
CHM-0032,JAMB,Chemistry,Organic Chemistry,Carbohydrates,medium,2025,,"Carbohydrates can generally be represented by the general formula \(C_x(H_2O)_y\), for fructose the value for \""X\"" is",,3,12,5,6,D,,jamb|2025,past-question,active
CHM-0033,JAMB,Chemistry,States of Matter,Diffusion,medium,2025,,"If a gold bar and a silver bar are tied together firmly and left for years, some of the gold particles will be found in the silver bar due to",,Brownian movement,diffusion,displacement,osmosis,B,,jamb|2025,past-question,active
CHM-0034,JAMB,Chemistry,Metallurgy,Occurrence of Metals,medium,2025,,A metal that can be found in the free state in nature is,,silver,Zinc,Iron,copper,A,,jamb|2025,past-question,active
CHM-0035,JAMB,Chemistry,Organic Chemistry,Boiling Points / Hydrogen Bonding,medium,2025,,Which of the following has the highest boiling point?,,\(CH_3CH_2OH\),\(CH_3CH_2CH_2Cl\),\(CH_3CH_2CH_2CH_2CH_2CH_3\),\(CH_3CH_2CH_2OH\),D,,jamb|2025,past-question,active
CHM-0036,JAMB,Chemistry,Solutions and Mixtures,Solubility Curves,medium,2025,,"The graph above shows the solubility curves of three substances X, Y and Z plotted against temperature. From the graph, it can be inferred that","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20viewBox%3D%220%200%20320%20200%22%20width%3D%22320%22%20height%3D%22200%22%20font-family%3D%22Arial%2CHelvetica%2Csans-serif%22%3E%3Crect%20x%3D%220%22%20y%3D%220%22%20width%3D%22320%22%20height%3D%22200%22%20fill%3D%22%23ffffff%22/%3E%3Cline%20x1%3D%2230%22%20y1%3D%22170%22%20x2%3D%2230%22%20y2%3D%2220%22%20stroke%3D%22%23111%22/%3E%3Cline%20x1%3D%2230%22%20y1%3D%22170%22%20x2%3D%22300%22%20y2%3D%22170%22%20stroke%3D%22%23111%22/%3E%3Ctext%20x%3D%225%22%20y%3D%2215%22%20font-size%3D%2210%22%3ESolubility%3C/text%3E%3Ctext%20x%3D%22260%22%20y%3D%22185%22%20font-size%3D%2210%22%3ETemp%3C/text%3E%3Cpolyline%20points%3D%2230%2C140%20100%2C120%20170%2C100%20260%2C80%22%20fill%3D%22none%22%20stroke%3D%22%23b91c1c%22%20stroke-width%3D%222%22/%3E%3Ctext%20x%3D%22265%22%20y%3D%2280%22%20font-size%3D%2210%22%20fill%3D%22%23b91c1c%22%3EY%3C/text%3E%3Cpolyline%20points%3D%2230%2C110%20100%2C108%20170%2C105%20260%2C100%22%20fill%3D%22none%22%20stroke%3D%22%232b6cb0%22%20stroke-width%3D%222%22/%3E%3Ctext%20x%3D%22265%22%20y%3D%22102%22%20font-size%3D%2210%22%20fill%3D%22%232b6cb0%22%3EX%3C/text%3E%3Cpolyline%20points%3D%2230%2C160%20100%2C90%20170%2C70%20260%2C140%22%20fill%3D%22none%22%20stroke%3D%22%2316a34a%22%20stroke-width%3D%222%22/%3E%3Ctext%20x%3D%22265%22%20y%3D%22142%22%20font-size%3D%2210%22%20fill%3D%22%2316a34a%22%3EZ%3C/text%3E%3C/svg%3E",the solubility of X and Y is the same at all temperatures,"the solubility of X, Y and Z is temperature independent",the solubility of Z increases steadily as temperature increases,the solubility of Y increases steadily as temperature increases,D,"On the graph, curve Y rises continuously across the whole temperature range, showing its solubility increases steadily with temperature, while Z rises then falls (retrograde solubility) and X stays roughly flat.",jamb|2025,past-question,active
CHM-0037,JAMB,Chemistry,Gases,Fountain Experiment,medium,2025,,The gas that is commonly used to demonstrate the fountain experiment is,,hydrogen chloride,hydrogen sulphide,dinitrogen(I) oxide,nitrogen(II) oxide,A,,jamb|2025,past-question,active
CHM-0038,JAMB,Chemistry,Water Chemistry,Hard Water,medium,2025,,Which of the following statements is false about hard water?,,Helps animals to build strong teeth,Cannot be supplied in pipes made of leads,Tastes better than soft water,Helps animals to build strong bones.,B,,jamb|2025,past-question,active
CHM-0039,JAMB,Chemistry,Stoichiometry,Empirical Formula Mass,medium,2025,,"The empirical mass of \(C_6H_{12}O_6\) is [H =1, C = 12, O = 16]",,90,180,45,30,D,,jamb|2025,past-question,active
CHM-0040,JAMB,Chemistry,Environmental Chemistry,Nitrogen Cycle,medium,2025,,The nitrogenous compound in dead materials in the soil is converted to,,ammonia,trioxonitrate(V),ammonium salts,dioxonitrate(III),A,,jamb|2025,past-question,active
CHM-0041,JAMB,Chemistry,Organic Chemistry,Alkynes / Nomenclature,medium,2025,,"\(CH_3C\equiv CCH(CH_3)_2\)

The IUPAC nomenclature of the compound above is",,3-ethyl but-2-yne,4-methylpent-2-yne,2-ethyl but-2-yne,2-methyl pent-2-yne,B,,jamb|2025,past-question,active
CHM-0042,JAMB,Chemistry,Gases,Oxygen Preparation,medium,2025,,"In the laboratory preparation of oxygen using potassium trioxochlorate(V), tetraoxomanganate (VII), usually not recommended in modern laboratory because",,it forms explosive mixture with carbonaceous materials,it is explosive.,it reacts with the catalyst,it is hazardous,A,,jamb|2025,past-question,active
CHM-0043,JAMB,Chemistry,Chemical Bonding,Coordination Compounds,medium,2025,,The type of bond between copper(II) tetraamine and chlorine in \([Cu(NH_3)_4]Cl_2\),,dative,van der waals,ionic,covalent,C,,jamb|2025,past-question,active
CHM-0044,JAMB,Chemistry,Redox Reactions,Reducing Agents,medium,2025,,"\(Mg_{(s)} + 2HCl_{(aq)} \rightarrow MgCl_2{}_{(aq)} + H_2{}_{(g)}\)

In the reaction above, magnesium is a reducing agent because",,oxidized,reduced,a metal,a solid,A,,jamb|2025,past-question,active
CHM-0045,JAMB,Chemistry,Physical and Chemical Changes,,medium,2025,,An example of a physical change is,,addition of water to calcium oxide,corrosion of iron,dissolving sodium chloride in water,burning of charcoal,C,,jamb|2025,past-question,active
CHM-0046,JAMB,Chemistry,Gases,Composition of Air,medium,2025,,"When a sample of air is passed through alkaline pyrogalol, potash and finally through U-tube containing fused calcium chloride, the components of air left unabsorbed are",,nitrogen and carbon(IV)oxide,noble gases and carbon(IV)oxide,noble gases and nitrogen,"noble gases, nitrogen and carbon(IV) oxide",C,,jamb|2025,past-question,active
CHM-0047,JAMB,Chemistry,Atomic Structure,Electron Configuration,medium,2025,,An atom of element with the configuration \(1S^2 2S^2 2P^6 3S^2 3P^5\) is likely to belong to,,group 7,group 5,group 2,group 3,A,,jamb|2025,past-question,active
CHM-0048,JAMB,Chemistry,Chemical Bonding,Polar Covalent Bonds,medium,2025,,A molecule with a polar covalent bond between atoms exhibits,,unequal sharing of electron pair,equal sharing of electron pair,equal sharing of electron lone pair,unequal sharing of electron lone pair,A,,jamb|2025,past-question,active
CHM-0049,JAMB,Chemistry,Electrochemistry,Cell Notation,medium,2025,,"\(Mg + Pb^{2+} \rightarrow Mg^{2+} + Pb\)

What is the cell notation for the cell reaction above?",,Mg|\(Pb^{2+}\)||\(Mg^{2+}\)|Pb,Mg|\(Mg^{2+}\)||Pb|\(Pb^{2+}\),Mg|\(Mg^{2+}\)||\(Pb^{2+}\)|Pb,Mg|\(Mg^+\)||Pb|\(Pb^+\),C,,jamb|2025,past-question,active
CHM-0050,JAMB,Chemistry,Gases,Graham's Law of Diffusion,medium,2025,,"The correct arrangement of gases in the order of increasing rate of diffusion is [H = 1, C = 12, N = 14, O = 16, S = 32]",,"\(CO_2\), \(H_2\), \(SO_2\), \(CO\)","\(SO_2\), \(O_2\), \(NH_3\), \(H_2\)","\(NH_3\), \(NO_2\), \(N_2\), \(CO_2\)","\(CO_2\), \(NH_3\), \(O_2\), \(SO_2\)",B,,jamb|2025,past-question,active
CHM-0051,JAMB,Chemistry,Acids/Bases/Salts,pH and Indicators,medium,2025,,"In a series of solutions with pH of 2.5, 3.5, 7.0 and 8.0, which is likely to turn red moist litmus paper blue?",,3.5,8.0,2.5,7.0,B,,jamb|2025,past-question,active
CHM-0052,JAMB,Chemistry,Metallurgy,Corrosion,medium,2025,,The process by which iron corrodes is,,rusting,burning,galvanizing,alloying,A,,jamb|2025,past-question,active
CHM-0053,JAMB,Chemistry,Stoichiometry,Solubility Calculations,medium,2025,,"On heating 12.5g of saturated solution to dryness at \(60^0C\), 2g of anhydrous salt was recovered, calculate its solubility in grams per 100g of water.",,16.0,4.0,2.0,20.0,D,"Solvent \(= 12.5g - 2g = 10.5g\); solubility \(= \frac{2}{10.5} \times 100 \approx 19.05\), rounded to nearest option, 20.0g per 100g water.",jamb|2025,past-question,active
CHM-0054,JAMB,Chemistry,Organic Chemistry,Substitution Reactions,medium,2025,,Consider the reaction: \(CH_4 + Cl_2 \xrightarrow{\text{UV light}} CH_3Cl + HCl\). This reaction is best classified as,,neutralization,substitution,polymerization,oxidation,B,"A hydrogen atom in methane is replaced (substituted) by a chlorine atom, so this is a substitution reaction, typical of alkanes reacting with halogens under UV light.",jamb|2025,past-question,active
CHM-0055,JAMB,Chemistry,Electrochemistry,Electrolysis of Brine,medium,2025,,The gas produced at the cathode during electrolysis of brine is,,steam,chlorine,oxygen,hydrogen,D,,jamb|2025,past-question,active
CHM-0056,JAMB,Chemistry,Acids/Bases/Salts,Salt Hydrolysis,medium,2025,,An example of a salt that can dissolve in water to form a solution with a pH of 7.,,sodium chloride,ammonium chloride,ammonium tetraoxosulphate(VI),sodium trioxocarbonate(IV),A,,jamb|2025,past-question,active
CHM-0057,JAMB,Chemistry,Thermodynamics,Spontaneity of Reactions,medium,2025,,"\(PCl_5{}_{(g)} \rightarrow PCl_3{}_{(s)} + Cl_2{}_{(g)}\)

In the equation above, the reaction will be spontaneous if",,\(\Delta H\) = constant,\(\Delta H\) = + ve,\(\Delta H\) = zero,\(\Delta H\) = - ve,D,,jamb|2025,past-question,active
CHM-0058,JAMB,Chemistry,Organic Chemistry,Esterification,medium,2025,,"\(C_2H_5OH + CH_3COOH \rightleftharpoons CH_3COOC_2H_5 + H_2O\)

The reaction above is",,condensation,fermentation,esterification,hydrolysis,C,,jamb|2025,past-question,active
CHM-0059,JAMB,Chemistry,Organic Chemistry,Esters,medium,2025,,"\(CH_3-CH_2-COOCH_2-CH_3\)

From the condensed structure above, the reactants are",,ethanol and ethanoic acid,propanol and propanoic acid,propanol and ethanoic acid,propanoic acid and ethanol,D,,jamb|2025,past-question,active
CHM-0060,JAMB,Chemistry,Metals and Alloys,Alloys,medium,2025,,The stainless steel alloy is used for making,,cutlery,permanent magnets,rock crushers,bridges,A,,jamb|2025,past-question,active
CHM-0061,JAMB,Chemistry,Gases,Industrial Gas Analysis,medium,2025,,The gas that ammoniacal solution of \(CuCl_2\) is used to absorb from producer or water gas is,,\(H_2\),CO,\(N_2\),\(CO_2\),B,,jamb|2025,past-question,active
CHM-0062,JAMB,Chemistry,Chemical Bonding,Intermolecular Forces,medium,2025,,The liquid state of water at room temperature is as a result of,,electrovalent bond,covalent bond,van der waals forces,hydrogen bond,D,,jamb|2025,past-question,active
CHM-0063,JAMB,Chemistry,Organic Chemistry,Petroleum,medium,2025,,The process that illustrates reformation of petroleum product is,,hexene to hexane,cyclohexane to benzene,hexane to carbon(IV)oxide and water vapour,hexane to butane and ethane,B,,jamb|2025,past-question,active
CHM-0064,JAMB,Chemistry,Environmental Chemistry,Air Pollution,medium,2025,,The source of carbon(II)oxide that acts as air pollutant is,,photochemical smog,respiration,combustion of fuel,decomposition of sewage,C,,jamb|2025,past-question,active
CHM-0065,JAMB,Chemistry,Chemical Equilibrium,Le Chatelier's Principle,medium,2025,,"If there is no change in volume in a gaseous reaction, the pressure will",,favour forward reaction,favour backward reaction,have no effect on equilibrium position,have effect on equilibrium position,C,,jamb|2025,past-question,active
CHM-0066,JAMB,Chemistry,Organic Chemistry,Esters,medium,2025,,What is the IUPAC name of the ester with structural formula \(CH_3CH_2COOC_2H_5\)?,,propyl ethanoate,ethyl ethanoate,ethyl propanoate,propyl methanoate,C,"The acid part (\(CH_3CH_2COO-\)) comes from propanoic acid, giving 'propanoate', and the alcohol part (\(-C_2H_5\)) comes from ethanol, giving 'ethyl' — hence ethyl propanoate.",jamb|2025,past-question,active
CHM-0067,JAMB,Chemistry,Rates of Reaction,Rate Calculation,medium,2025,,"If 5g of Iron filling was reacted with excess dilute \(H_2SO_4\) to evolve hydrogen gas, which came to completion after 10 min, calculate the rate of reaction in g/hr.",,5,30,20,10,B,,jamb|2025,past-question,active
CHM-0068,JAMB,Chemistry,Organic Chemistry,Petroleum,medium,2025,,The evaluation of petrol from crude oil before it is put on sale is to prevent,,pinking,reforming,pyrolysis,cracking,A,,jamb|2025,past-question,active
CHM-0069,JAMB,Chemistry,Metals and Alloys,Metal Uses,medium,2025,,The metal used as a packaging material is,,Al,Cu,Fe,Na,A,,jamb|2025,past-question,active
CHM-0070,JAMB,Chemistry,Gases,Gas Laws,medium,2025,,The expression \(\dfrac{P_1V_1}{T_1} = \dfrac{P_2V_2}{T_2}\) represents,,Avogadro's law,Boyle's law,General gas law,Charles' law,C,"This expression combines Boyle's law and Charles' law into the general (combined) gas law, relating pressure, volume and temperature of a fixed mass of gas.",jamb|2025,past-question,active
CHM-0071,JAMB,Chemistry,Acids/Bases/Salts,Basicity,medium,2025,,The basicity of \(C_2H_2O_4\) is,,3,4,2,8,C,,jamb|2025,past-question,active
CHM-0072,JAMB,Chemistry,Organic Chemistry,Fermentation,medium,2025,,Enzymatic conversion of glucose to ethanol is,,polymerization,hydrogenation,fermentation,saponification,C,,jamb|2025,past-question,active
CHM-0073,JAMB,Chemistry,Metals and Alloys,Extraction of Metals,medium,2025,,Gold does not require extraction because it is,,a precious mineral,inert,free in nature,neutral,C,,jamb|2025,past-question,active
CHM-0074,JAMB,Chemistry,Industrial Chemistry,Contact Process,medium,2025,,The process employed in the industrial preparation of tetraoxosulphate(VI) acid is,,Contact,Bosch,Frasch,Haber,A,,jamb|2025,past-question,active
CHM-0075,JAMB,Chemistry,Organic Chemistry,Hydrogenation,medium,2025,,The catalytic hydrogenation of benzene produces,,hexane,margarine,hexene,cyclohexane,D,,jamb|2025,past-question,active
CHM-0076,JAMB,Chemistry,Organic Chemistry,Saponification,medium,2025,,A by-product of the alkaline hydrolysis of tristearin is a,,dihydric alkanol,tertiary alkanol,secondary alkanol,trihydric alkanol,D,,jamb|2025,past-question,active
CHM-0077,JAMB,Chemistry,Thermodynamics,Gibbs Free Energy,medium,2025,,"\(2SO_2 + O_2 \rightleftharpoons 2SO_3\) ; \(\Delta G^\circ\) = - ve

For the above reaction to be feasible",,"\(\Delta H\) = +ve , \(\Delta S\) = +ve","\(\Delta H\) = 0 , \(\Delta S\) = +ve","\(\Delta H\) = +ve , \(\Delta S\) = -ve",\(\Delta S\) = 0,A,,jamb|2025,past-question,active
CHM-0078,JAMB,Chemistry,Electrochemistry,Extraction of Metals,medium,2025,,"In the electrolysis of molten sodium chloride, sodium ions are discharged at the cathode (\(Na^+ + e^- \rightarrow Na\)) while chlorine gas is liberated at the anode. This industrial method of producing sodium metal is known as the",,Bessemer process,Chlor-alkali process,Downs process,Bosch process,C,The Downs process is the industrial electrolysis of molten sodium chloride used to extract sodium metal and chlorine gas.,jamb|2025,past-question,active
CHM-0079,JAMB,Chemistry,Environmental Chemistry,CFCs,medium,2025,,The use of CFCs as a blowing agent has application in,,foam industry,tyre industry,refrigerant,propellant,A,,jamb|2025,past-question,active
CHM-0080,JAMB,Chemistry,Metals and Alloys,Reactivity Series,medium,2025,,The metal that will liberate \(H_2\) gas from dilute \(HNO_3\) is,,Cu,Mg,Ca,Zn,B,,jamb|2025,past-question,active
CHM-0081,JAMB,Chemistry,Periodicity,Electron Configuration,medium,2025,,Atom with the electron configuration of \(1s^2 2s^2 2p^6 3s^2\) belongs to,,Group 3 and Period 2,Group 8 and Period 3,Group 2 and Period 3,Group 2 and Period 6,C,,jamb|2025,past-question,active
CHM-0082,JAMB,Chemistry,Stoichiometry,Molar Mass,medium,2025,,"The relative molecular mass of an alkanoic acid with the empirical formula of \(CH_2O\) is [H = 1, C = 12, O = 16]",,46,88,60,72,C,,jamb|2025,past-question,active
CHM-0083,JAMB,Chemistry,Colloids,Types of Colloids,medium,2025,,Commercial deodorant is an example of a colloid called,,aerosol,sol,foam,emulsion,A,,jamb|2025,past-question,active
CHM-0084,JAMB,Chemistry,Electrochemistry,Electrolysis (Faraday's Law),medium,2025,,"Calculate the time required to liberate 9g of Aluminium metal, when a current of 18A is passed through it. (1F = 96500C , Al = 27)",,1769.17 minutes,89.34 minutes,5360.58 minutes,29.48 minutes,B,,jamb|2025,past-question,active
CHM-0085,JAMB,Chemistry,Acids/Bases/Salts,Properties of Acids,medium,2025,,What is the function of concentrated \(H_2SO_4\)?,,It reacts with metals to give a salt and hydro gas,It is a dehydrating agent,It neutralizes alkali,It produces a cryolite precipitate with basic solution,B,,jamb|2025,past-question,active
CHM-0086,JAMB,Chemistry,Electrochemistry,Redox Reactions,medium,2025,,"In oxidation reactions, electrons are",,hydrolysed,removed,added,hydrated,B,,jamb|2025,past-question,active
CHM-0087,JAMB,Chemistry,Organic Chemistry,IUPAC Nomenclature,medium,2025,,"\((CH_3)_2CHCH(OH)CH_2C(CH_3)_3\)

The IUPAC name of the compound above is",,"2,5,5-trimethylhexan-3-ol","1,1-dimethylisopentanol","1,1,4,4-pentamethylbutanol","2,5-dimethylhexan-4-ol",A,,jamb|2025,past-question,active
CHM-0088,JAMB,Chemistry,Organic Chemistry,Alcohols,medium,2025,,Anti-freeze used in a vehicle radiator is a mixture of water and,,propanetriol,propanol,propanone,propanal,A,,jamb|2025,past-question,active
CHM-0089,JAMB,Chemistry,Acids/Bases/Salts,Salts,medium,2025,,Magnesium tetraoxosulphate(VI) salt is commonly used as a,,disinfectant,plasticizer,fertilizer,laxative,D,,jamb|2025,past-question,active
CHM-0090,JAMB,Chemistry,Metals and Alloys,Alloys,medium,2025,,The constituents of permalloy are Iron and,,Nickel,Tin,Chromium,Copper,A,,jamb|2025,past-question,active
CHM-0091,JAMB,Chemistry,Gases,Kinetic Theory,medium,2025,,An inflated balloon shrinks when placed in a freezer because the,,volume of gas increases and expands,number of gas molecules decreases,gas motion reduces and exert less pressure,gas molecules completely stop moving,C,,jamb|2025,past-question,active
CHM-0092,JAMB,Chemistry,Periodicity,Oxidation States,medium,2025,,The compound in which the oxidation state of nitrogen is + 3 is,,\(N_2O_5\),\(N_2O_3\),\(N_2O_4\),\(N_2O\),B,,jamb|2025,past-question,active
CHM-0093,JAMB,Chemistry,Chemical Bonding,Ionic Bonding,medium,2025,,"\(Na_2X \rightleftharpoons 2Na^+ + X^{2-}\)

The bond between Na and X is likely to be",,dative,ionic,metallic,covalent,B,,jamb|2025,past-question,active
CHM-0094,JAMB,Chemistry,Organic Chemistry,Esters,medium,2025,,The compound responsible for the pleasant scent of fruits and perfumes belongs to the class of,,alkanamide,alkanone,alkanal,alkanoate,D,,jamb|2025,past-question,active
CHM-0095,JAMB,Chemistry,Acids/Bases/Salts,Titration Indicators,medium,2025,,The most suitable indicator to be used when reacting ethanedioic acid with potassium hydroxide is,,phenolphthalein,methyl orange,methyl red,methyl purple,A,,jamb|2025,past-question,active
