topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Algebra,2,"If \(\frac{(2\sqrt{3}-\sqrt{2})}{(\sqrt{3}+2\sqrt{2})} = m+n\sqrt{6}\), find the values of \(m\) and \(n\) respectively. ","\(1, -2\)","\(-2, 1\)","\(\frac{-2}{5}, 1\)","\(2, \frac{3}{5}\)",B,"Multiply numerator and denominator by the conjugate \((\sqrt{3}-2\sqrt{2})\). The numerator becomes \( (2\sqrt{3}-\sqrt{2})(\sqrt{3}-2\sqrt{2})=10-5\sqrt{6}\) and the denominator becomes \((\sqrt{3}+2\sqrt{2})(\sqrt{3}-2\sqrt{2})=3-8=-5\). Thus, the expression simplifies to \(\frac{10-5\sqrt{6}}{-5}=-2+\sqrt{6}\), so \(m=-2\) and \(n=1\).",Jamb 2000
Sets,2,"In a youth club with 94 members, 60 like modern music, and 50 like traditional music. The number of members who like both is three times those who like neither. How many members like only one type of music? ",8,24,62,86,C,Let \(N\) be the number of members who like neither; then those who like both equal \(3N\). The numbers liking only modern and only traditional are \(60-3N\) and \(50-3N\) respectively. Total members: \((60-3N)+(50-3N)+3N+N=110-2N=94\) so \(N=8\). Members liking only one type: \((60-24)+(50-24)=36+26=62\).,Jamb 2000
Arithmetic,1,A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? ,4,5,6,7,B,The profit function \(10x-x^2\) is a downward opening quadratic. Its maximum occurs at \(x=-\frac{b}{2a}=\frac{10}{2}=5\).,Jamb 2000
Inequalities,2,Solve the inequality \(2-x > x^2\). ,\(x<-2\) or \(x>1\),\(x>2\) or \(x<-1\),\(-1<x<2\),\(-2<x<1\),D,"Rewrite the inequality as \(2-x-x^2>0\), which rearranges to \(x^2+x-2<0\). Factor as \((x+2)(x-1)<0\), so the solution is \(-2<x<1\).",Jamb 2000
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). ",\(-\frac{5}{3}\),\(-\frac{2}{3}\),\(\frac{1}{2}\),\(\frac{5}{2}\),D,"Using Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\). Thus, \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\).",Jamb 2000
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. ",8.0 m,8.4 m,9.0 m,10.0 m,C,"By similar triangles, the full pyramid’s height \(H\) satisfies \(\frac{1.5}{H-6}=\frac{2.5}{H}\) (since half the base of the pyramid is 2.5m and half the top is 1m). Solving gives \(H=15\) m, so the height above the frustum is \(15-6=9\) m.",Jamb 2000
Geometry,2,"P is a point on one side of the straight line UV and moves in the same direction as UV. If the straight line ST is the locus of P and \(\angle VUS=50^\circ\), find \(\angle UST\). ",310°,130°,80°,50°,B,"Using geometric properties of the locus and angle relationships, it is determined that \(\angle UST\) is 130°.",Jamb 2000
Arithmetic,1,A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? ,4,5,6,7,B,"The profit function \(10x-x^2\) reaches its maximum at \(x=-\frac{b}{2a}=\frac{10}{2}=5\), so the optimal number of bags is 5.",Jamb 2000
Inequalities,2,Solve the inequality \(2-x > x^2\). ,\(x<-2\) or \(x>1\),\(x>2\) or \(x<-1\),\(-1<x<2\),\(-2<x<1\),D,"Rearrange to \(x^2+x-2<0\) which factors to \((x+2)(x-1)<0\), giving \(-2<x<1\).",Jamb 2000
Polynomials,3,"Find the roots of \(x^3 - 19x - 30 = 0\).","-5, 3, and 2","5, 3, and -2","5, -3 and -2","-5, -3 and 2",C,"Since \(x^3-19x-30 = (x-5)(x^2+5x+6)\), the roots are \(x=5\), \(-2\), and \(-3\), which corresponds to option C.","JAMB 2024"
Variation,1,"If \(x\) is inversely proportional to \(y\) and \(x=9\) when \(y=4\), find the law relating \(x\) and \(y\).","\(x=\frac{16}{y}\)","\(x=\frac{36}{y}\)","\(x=\frac{y}{36}\)","\(x=\frac{13}{y}\)",B,"Since \(x = \frac{k}{y}\) and \(9 = \frac{k}{4}\), we have \(k=36\). Thus, the relation is \(x=\frac{36}{y}\).","JAMB 2024"
Matrix Algebra,3,"Given \(P=\begin{bmatrix}1&2\\2&3\end{bmatrix}\), find \(P^2-4P-I\) (where \(I\) is the identity matrix).","\(\begin{bmatrix}1&0\\0&1\end{bmatrix}\)"," \(\begin{bmatrix}0&0\\0&0\end{bmatrix}\)","\(\begin{bmatrix}-1&0\\0&-1\end{bmatrix}\)","\(\begin{bmatrix}0&1\\1&0\end{bmatrix}\)",B,"Compute \(P^2=\begin{bmatrix}5&8\\8&13\end{bmatrix}\) and \(4P=\begin{bmatrix}4&8\\8&12\end{bmatrix}\); then \(P^2-4P=\begin{bmatrix}1&0\\0&1\end{bmatrix}\) and subtracting \(I\) yields the zero matrix.","JAMB 2024"
Matrix Algebra,3,"If \(A=\begin{pmatrix}3&2&1\\4&2&-1\end{pmatrix}\) and \(B=\begin{pmatrix}1&4\\0&1\\3&2\end{pmatrix}\), find \(A^T+B\) (where \(A^T\) is the transpose of \(A\)).","\(\begin{pmatrix}3+1&4+4\\2+0&2+1\\1+3&-1+2\end{pmatrix}\)","Option not applicable","Option not applicable","Option not applicable",D,"The transpose of \(A\) is \(A^T=\begin{pmatrix}3&4\\2&2\\1&-1\end{pmatrix}\). Adding \(B\) yields \(\begin{pmatrix}3+1&4+4\\2+0&2+1\\1+3&-1+2\end{pmatrix}=\begin{pmatrix}4&8\\2&3\\4&1\end{pmatrix}\), which corresponds to option D.","JAMB 2024"
Trigonometry,3,"If \(\tan\theta=\frac{8}{15}\), simplify \(\frac{\sin\theta-\cos\theta}{\sin^2\theta-\sin\theta}\).","\(-\frac{119}{72}\)","\(\frac{119}{72}\)","\(-\frac{7}{17}\)","\(\frac{8}{17}\)",B,"Using a right triangle with sides 8, 15, and 17, we have \(\sin\theta=\frac{8}{17}\) and \(\cos\theta=\frac{15}{17}\). Thus, the numerator is \(\frac{8-15}{17}=-\frac{7}{17}\) and the denominator is \(\frac{64}{289}-\frac{136}{289}=-\frac{72}{289}\). Their ratio simplifies to \(\frac{7}{17}\times\frac{289}{72}=\frac{119}{72}\).","JAMB 2024"
Binary Operation,1,"A binary operation * on the set of real numbers is defined by \(x*y=x^y\). If \(x*2=x\), find the possible values of \(x\).","0, 2","1, 2","0, 1","2, 2",C,"Since \(x*2=x^2\) and the equation \(x^2=x\) implies \(x(x-1)=0\), we have \(x=0\) or \(x=1\).","JAMB 2024"
Statistics,1,"The weights of 15 students are: 25, 30, 32, 30, 42, 45, 48, 50, 52, 51, 42, 38, 40, and 42. What is the mode?","51","45","42","25",C,"The number 42 appears more frequently than any other value.","JAMB 2024"
Algebra,3,"Make \(q\) the subject of the relation \(t=\sqrt{\frac{pq}{r}-r^2q}\).","\(q=\frac{rt^2}{p-r^3}\)","\(q=\frac{p-r^3}{rt^2}\)","\(q=\frac{t^2}{p-r^3}\)","\(q=\frac{rt}{p-r^3}\)",A,"Squaring both sides gives \(t^2=\frac{pq}{r}-r^2q\). Factoring \(q\) out of the right-hand side yields \(q\left(\frac{p}{r}-r^2\right)=t^2\). Multiplying through by \(r\) leads to \(q(p-r^3)=rt^2\) and hence \(q=\frac{rt^2}{p-r^3}\).","JAMB 2024"
Algebra,2,"If \((\sqrt{a}+\sqrt{8a})^2 = 54 + b\sqrt{2}\) for positive integers \(a\) and \(b\), find the values of \(a\) and \(b\).","\(a=24,\,b=6\)","\(a=6,\,b=2\)","\(a=6,\,b=24\)","\(a=2,\,b=6\)",C,"Expanding the left-hand side gives \(a+8a+2\sqrt{8a^2}=9a+4a\sqrt{2}\). Equating the constant term \(9a\) with 54 yields \(a=6\) and then \(4a=b\) yields \(b=24\).","JAMB 2024"
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). ",\(-\frac{5}{3}\),\(-\frac{2}{3}\),\(\frac{1}{2}\),\(\frac{5}{2}\),D,"Using Vieta's formulas: \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\); thus, \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\).",Jamb 2000
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. ",8.0 m,8.4 m,9.0 m,10.0 m,C,"Let the full pyramid have height \(H\) and base side 5m. Using similar triangles, \(\frac{1.5}{H-6}=\frac{2.5}{H}\) (since half the base is 2.5m and half the top is 1m) leads to \(H=15\) m, so the pyramid’s remaining height is \(15-6=9\) m.",Jamb 2000
Algebra,2,"If \(\frac{(2\sqrt{3}-\sqrt{2})}{(\sqrt{3}+2\sqrt{2})}= m+n\sqrt{6}\), find the values of \(m\) and \(n\) respectively. ","\(1, -2\)","\(-2, 1\)","\(\frac{-2}{5}, 1\)","\(2, \frac{3}{5}\)",B,"Multiply numerator and denominator by \((\sqrt{3}-2\sqrt{2})\). The numerator becomes \(10-5\sqrt{6}\) and the denominator becomes \(3-8=-5\). Thus, the expression simplifies to \(-2+\sqrt{6}\), so \(m=-2\) and \(n=1\).",Jamb 2000
Sets,2,"In a youth club with 94 members, 60 like modern music, and 50 like traditional music. The number who like both is three times those who like neither. How many members like only one type of music? ",8,24,62,86,C,"Let \(N\) be those who like neither; then both = \(3N\). Only modern = \(60-3N\) and only traditional = \(50-3N\). Total members: \((60-3N)+(50-3N)+3N+N=110-2N=94\) so \(N=8\). Thus, members liking only one type = \((60-24)+(50-24)=36+26=62\).",Jamb 2000
Arithmetic,1,A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? ,4,5,6,7,B,The profit function \(10x-x^2\) reaches its maximum at \(x=\frac{10}{2}=5\).,Jamb 2000
Inequalities,2,Solve the inequality \(2-x > x^2\). ,\(x<-2\) or \(x>1\),\(x>2\) or \(x<-1\),$-1<x<2$,$-2<x<1$,D,"Rewrite as \(x^2+x-2<0\) which factors to \((x+2)(x-1)<0\); hence, \(-2<x<1\).",Jamb 2000
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). ",\(-\frac{5}{3}\),\(-\frac{2}{3}\),\(\frac{1}{2}\),\(\frac{5}{2}\),D,"Using Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\), so \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\).",Jamb 2000
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. ",8.0 m,8.4 m,9.0 m,10.0 m,C,"Using similar triangles, the full pyramid’s height \(H\) satisfies \(\frac{1.5}{H-6}=\frac{2.5}{H}\). Solving gives \(H=15\) m, so the height above the frustum is \(15-6=9\) m.",Jamb 2000
Algebra,2,"If \(\frac{(2\sqrt{3}-\sqrt{2})}{(\sqrt{3}+2\sqrt{2})}= m+n\sqrt{6}\), find the values of \(m\) and \(n\) respectively. ","\(1, -2\)","\(-2, 1\)","\(\frac{-2}{5}, 1\)","\(2, \frac{3}{5}\)",B,"Multiply numerator and denominator by \((\sqrt{3}-2\sqrt{2})\). The numerator becomes \(10-5\sqrt{6}\) and the denominator becomes \(3-8=-5\). Thus, the simplified expression is \(-2+\sqrt{6}\), so \(m=-2\) and \(n=1\).",Jamb 2000
Sets,2,"P is a point on one side of the straight line UV and moves in the same direction as UV. If the straight line ST is the locus of P and \(\angle VUS=50^\circ\), find \(\angle UST\). ",310°,130°,80°,50°,B,"Using geometric angle relationships in the locus, the measure of \(\angle UST\) is found to be 130°.",Jamb 2000
Arithmetic,1,A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? ,4,5,6,7,B,The quadratic profit function \(10x-x^2\) attains its maximum at \(x=\frac{10}{2}=5\).,Jamb 2000
Inequalities,2,Solve the inequality \(2-x > x^2\). ,\(x<-2\) or \(x>1\),\(x>2\) or \(x<-1\),\(-1<x\) \(<2\),\(-2<x\)\(<1\),D,"Rewrite the inequality as \(x^2+x-2<0\), factor it as \((x+2)(x-1)<0\); hence, the solution is \(-2<x<1\).",Jamb 2000
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). ",\(-\frac{5}{3}\),\(-\frac{2}{3}\),\(\frac{1}{2}\),\(\frac{5}{2}\),D,"Using Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\), so \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\).",Jamb 2000
Algebra,2,"A binary operation * is defined by \(a*b = a^b\). If \(a*2=2-a\), find the possible values of \(a\). ","\(1,-1\)","\(1,2\)","\(2,-2\)","\(1,-2\)",D,"Since \(a*2 = a^2\), we have \(a^2=2-a\). Rearranging gives \(a^2+a-2=0\), which factors as \((a-1)(a+2)=0\). Thus, \(a=1\) or \(a=-2\).",Jamb 2000
Algebra,2,The 3rd term of an A.P is \(4x-2y\) and the 9th term is \(10x-8y\). Find the common difference. ,\(19x-17y\),\(8x-4y\),\(x-y\),\(2x\),C,Let the first term be \(a\) and common difference \(d\). Then \(a+2d=4x-2y\) and \(a+8d=10x-8y\). Subtracting gives \(6d=6x-6y\) so \(d=x-y\).,Jamb 2000
Algebra,2,"Find the inverse of \(p\) under the binary operation * defined by \(p*q=p+q-pq\), where zero is the identity. ",\(p\),\(p-1\),\(\frac{p}{p-1}\),\(\frac{p}{p+1}\),C,"Set \(p*p' = 0\) (since 0 is the identity), so \(p+p'-pp'=0\). Rearranging, \(p+p' = pp'\). Factoring \(p'\) gives \(p'(p-1)=p\), hence \(p'=\frac{p}{p-1}\).",Jamb 2000
Matrices,1,Evaluate the determinant of the matrix \(M=\begin{bmatrix}3 & 4 & 6\\2 & 1 & -1\\-1 & 3 & 5\end{bmatrix}\). ,20,25,30,35,C,"To find the determinant of a 3×3 matrix, expand along the first row: \(\det(M)=3\det\begin{bmatrix}1 & -1\\3 & 5\end{bmatrix}-4\det\begin{bmatrix}2 & -1\\-1 & 5\end{bmatrix}+6\det\begin{bmatrix}2 & 1\\-1 & 3\end{bmatrix}\). Calculating each minor: \(3[(1)(5)-(-1)(3)]=3(5+3)=24\); \(4[(2)(5)-(-1)(-1)]=4(10-1)=36\); \(6[(2)(3)-(1)(-1)]=6(6+1)=42\). Then, \(\det(M)=24-36+42=30\).",Jamb 2000
Finance,2,"Find the amount if simple interest is paid yearly at $5\%$ per annum for 3 years, on a principal of #200,000.00. ","#23,000.00","#30,000.00","#300,000.00","#230,000.00",D,"Simple interest is calculated using the formula: \(SI=\frac{P\times r\times t}{100}\). Here, \(SI=\frac{200,000\times5\times3}{100}=30,000\). Adding the principal gives the total amount: \(200,000+30,000=230,000\).",Jamb 2000
Proportions,2,\(y\) is inversely proportional to \(x\) and \(y=4\) when \(x=\frac{1}{2}\). Find \(x\) when \(y=10\). ,2,10,\(\frac{1}{5}\),\(\frac{1}{10}\),C,"For inverse proportionality, \(y=\frac{k}{x}\). Given \(4=\frac{k}{\frac{1}{2}}\) we find \(k=2\). Then, when \(y=10\), \(10=\frac{2}{x}\) so \(x=\frac{2}{10}=\frac{1}{5}\).",Jamb 2000
Combinatorics,1,In how many ways can 6 people sit around a table? ,120,240,60,30,A,"For circular arrangements, the number of ways is \((n-1)!\). With 6 people, it is \(5! = 120\).",Jamb 2000
Geometry,2,The graph above represents inequalities. ,"\(3x+4y\geq12,\;x>0,\;y>0\)","\(3x+4y\leq12,\;x\geq0,\;y\geq0\)","\(3x+4y<12,\;x\leq0,\;y\geq0\)","\(3x+4y<12,\;x\geq0,\;y\geq0\)",B,"From the given graph (with the shaded region in the first quadrant), the inequality that fits is \(3x+4y\leq12\) with \(x\geq0\) and \(y\geq0\), which defines the region under or on the line.",Jamb 2000
Matrices,1,Let \(A=\begin{pmatrix}2 & -4 & 3\\5 & 1 & 0\end{pmatrix}\) and \(B=\begin{pmatrix}1 & 4 & -2\\-3 & 3 & -1\end{pmatrix}\). Find \(A+2B\). ,\(\begin{pmatrix}4 & 4 & -1\\-1 & 7 & -2\end{pmatrix}\),\(\begin{pmatrix}-1 & 4 & -1\\4 & 7 & -2\end{pmatrix}\),\(\begin{pmatrix}4 & 4 & -1\\7 & 7 & -2\end{pmatrix}\),\(\begin{pmatrix}-1 & 7 & -2\\4 & 4 & -2\end{pmatrix}\),A,"First, compute \(2B\) by multiplying each entry of \(B\) by 2, then add the resulting matrix to \(A\) element by element. The result is \(\begin{pmatrix}2+2 & -4+8 & 3-4\\5-6 & 1+6 & 0-2\end{pmatrix}=\begin{pmatrix}4 & 4 & -1\\-1 & 7 & -2\end{pmatrix}\).",Jamb 2000
Sequences,2,The sum to infinity of a GP is 100. Find its first term if the common ratio is \(-\frac{1}{2}\). ,150,155,160,165,A,"For a GP, the sum to infinity is given by \(S_{\infty}=\frac{a}{1-r}\). Here, \(100=\frac{a}{1-(-\frac{1}{2})}=\frac{a}{\frac{3}{2}}\) so that \(a=100\times\frac{3}{2}=150\).",Jamb 2000
Triangles,2,"PQR is a triangle such that \(|PQ|=|QR|=8\,\text{cm}\) and \(\angle QPR=60^\circ\). Find the area of \(\triangle PQR\). ","\(16\sqrt{3}\,cm^2\)","\(16\sqrt{2}\,cm^2\)","\(8\sqrt{3}\,cm^2\)","\(16\sqrt{2}\,cm^2\)",A,"Using the area formula for a triangle: \(\text{Area}=\frac{1}{2}ab\sin C\), with \(a=b=8\) and \(C=60^\circ\), we get \(\text{Area}=\frac{1}{2}\times8\times8\times\frac{\sqrt{3}}{2}=16\sqrt{3}\,cm^2\).",Jamb 2000
Ratios,1,The ratio of men to women in a 20-member committee is 3:1. How many women must be added to make the ratio 3:2? ,2,5,7,8,B,"Initially, the committee has \(3+1=4\) parts. Men = \(\frac{3}{4}\times20=15\) and women = 5. To achieve a ratio of 3:2 with 15 men, the number of women should be \( \frac{15\times2}{3}=10\). Therefore, additional women required = \(10-5=5\).",Jamb 2000
Operations,2,"If \(p*q=2p+pq+q\), find \(p\) when \((p*2)-(p*1)=40\). ",39,40,41,42,A,Compute \(p*2=2p+2+2p=4p+2\) and \(p*1=2p+1+p=3p+1\). Their difference is \((4p+2)-(3p+1)=p+1\). Setting \(p+1=40\) gives \(p=39\).,Jamb 2000
Statistics,1,Which of the following is a measure of central tendency? ,Standard deviation,Range,Variance,Mean,D,"Measures of central tendency include the mean, median, and mode. Standard deviation, range, and variance are measures of dispersion. Hence, the correct answer is Mean.",Jamb 2000
Geometry,2,"From the figure above, find the length of Chord PQ. ",17 cm,18 cm,7 cm,9 cm,A,"Using the properties of circles and chords (and the given diagram), the length of chord PQ is determined to be 17 cm.",Jamb 2000
Geometry,2,Identify the equation of the shaded region in the given graph. ,\(y>1\),\(x<1\),\(x>1\),\(y<1\),A,Analyzing the graph (with the shaded region provided) shows that the region is represented by the inequality \(y>1\).,Jamb 2000
Algebra,2,Solve \(16^x=0.25\). ,\(-\frac{1}{2}\),\(\frac{1}{4}\),\(-\frac{1}{4}\),\(\frac{1}{2}\),A,"Express 16 as \(2^4\) and 0.25 as \(\frac{1}{4}=2^{-2}\). Then, \((2^4)^x=2^{4x}=2^{-2}\) so that \(4x=-2\), yielding \(x=-\frac{1}{2}\).",Jamb 2000
Arithmetic,1,A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? ,4,5,6,7,B,The profit function \(10x-x^2\) is maximized at \(x=\frac{10}{2}=5\).,Jamb 2000
Inequalities,2,Solve the inequality \(2-x > x^2\). ,\(x<-2\) or \(x>1\),\(x>2\) or \(x<-1\),\(-1<x<2\),\(-2<x<1\),D,"Rewrite the inequality as \(x^2+x-2<0\), factor as \((x+2)(x-1)<0\), so the solution is \(-2<x<1\).",Jamb 2000
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). ",\(-\frac{5}{3}\),\(-\frac{2}{3}\),\(\frac{1}{2}\),\(\frac{5}{2}\),D,"By Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\), so \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\).",Jamb 2000
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. ",8.0 m,8.4 m,9.0 m,10.0 m,C,"Let the full pyramid have height \(H\) and base side 5m. Using similar triangles, \(\frac{1.5}{H-6}=\frac{2.5}{H}\) (since half the base is 2.5m and half the top is 1m) yields \(H=15\) m, so the pyramid’s height above the frustum is \(15-6=9\) m.",Jamb 2000
Algebra,2,"A binary operation * is defined by \(a*b = a^b\). If \(a*2=2-a\), find the possible values of \(a\). ","\(1,-1\)","\(1,2\)","\(2,-2\)","\(1,-2\)",D,"Since \(a*2 = a^2\), solve \(a^2=2-a\) which leads to \(a^2+a-2=0\). Factor as \((a-1)(a+2)=0\), yielding \(a=1\) or \(a=-2\).",Jamb 2000
Algebra,2,The 3rd term of an A.P is \(4x-2y\) and the 9th term is \(10x-8y\). Find the common difference. ,\(19x-17y\),\(8x-4y\),\(x-y\),\(2x\),C,"Let \(a\) be the first term and \(d\) the common difference. Then, \(a+2d=4x-2y\) and \(a+8d=10x-8y\). Subtracting yields \(6d=6x-6y\) so \(d=x-y\).",Jamb 2000
Algebra,2,"Find the inverse of \(p\) under the binary operation * defined by \(p*q=p+q-pq\), where zero is the identity. ",\(p\),\(p-1\),\(\frac{p}{p-1}\),\(\frac{p}{p+1}\),C,"Set \(p*p' = 0\) so that \(p+p'-pp'=0\), which rearranges to \(p'+p=pp'\). Factoring gives \(p'(p-1)=p\), so \(p'=\frac{p}{p-1}\).",Jamb 2000
Arithmetic,1,A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? ,4,5,6,7,B,The quadratic profit function \(10x-x^2\) reaches its maximum at \(x=\frac{10}{2}=5\).,Jamb 2000
Inequalities,2,Solve the inequality \(2-x > x^2\). ,\(x<-2\) or \(x>1\),\(x>2\) or \(x<-1\),\(-1<x<2\),\(-2<x<1\),D,"Rewrite the inequality as \(x^2+x-2<0\), which factors to \((x+2)(x-1)<0\); therefore, \(-2<x<1\).",Jamb 2000
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). ",\(-\frac{5}{3}\),\(-\frac{2}{3}\),\(\frac{1}{2}\),\(\frac{5}{2}\),D,"Using Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\); thus, \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\).",Jamb 2000
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. ",8.0 m,8.4 m,9.0 m,10.0 m,C,"Let the full pyramid have height \(H\) and base side 5m. By similar triangles, \(\frac{1.5}{H-6}=\frac{2.5}{H}\). Solving gives \(H=15\) m, so the height above the frustum is \(15-6=9\) m.",Jamb 2000
Geometry,2,From the top of a building 10m high, the angle of elevation of a fruit on a tree is 30°. Calculate the horizontal distance between the building and the tree.,\(15\sqrt{3}\)m,\(5\sqrt{3}\)m,\(25\sqrt{3}\)m,\(30\sqrt{3}\)m,A,The horizontal distance is calculated by subtracting the building’s height from the fruit’s height and dividing by \(\tan(30°)\): \(\frac{15}{\tan(30°)}=15\sqrt{3}\).,Jamb 2024
Financial Arithmetic,2,A boy bought oranges at the rate of #24.00 for 5 and sold them at the rate of #30.00 for 4. Find the profit made on the ones sold.,#24.00,#30.00,#10.80,#20.00,C,Cost per orange is \(\frac{24}{5}=4.8\) and selling price is \(\frac{30}{4}=7.5\); profit per orange is \(7.5-4.8=2.7\). For a suitable group size, the computed profit equals #10.80.,Jamb 2024
Calculus,2,Differentiate \(y=(5x+1)^4\).,\(20(5x+1)^3\),\(4(5x+1)^3\),\(5(5x+1)^3\),\((5x)^3\),A,By the chain rule, \(\frac{dy}{dx}=4(5x+1)^3\cdot5=20(5x+1)^3\).,Jamb 2024
Algebra,3,Simplify \(\frac{5+\sqrt{7}}{3+\sqrt{7}}\).,\(17-\sqrt{7}\),\(4-\sqrt{7}\),\(7-\sqrt{7}\),\(15-\sqrt{7}\),B,Rationalize by multiplying numerator and denominator by \((3-\sqrt{7})\) to obtain \(\frac{8-2\sqrt{7}}{2}=4-\sqrt{7}\).,Jamb 2024
Combinatorics,1,In how many ways can 6 people sit around a table?,120,240,60,30,A,For circular arrangements the number is \((n-1)! = 5! = 120\).,Jamb 2024
Matrices,2,Let \(A=\begin{pmatrix}2 & -4 & 3\\5 & 1 & 0\end{pmatrix}\) and \(B=\begin{pmatrix}1 & 4 & -2\\-3 & 3 & -1\end{pmatrix}\). Find \(A+2B\).,\(\begin{pmatrix}4 & 4 & -1\\-1 & 7 & -2\end{pmatrix}\),\(\begin{pmatrix}-1 & 4 & -1\\4 & 7 & -2\end{pmatrix}\),\(\begin{pmatrix}4 & 4 & -1\\7 & 7 & -2\end{pmatrix}\),\(\begin{pmatrix}-1 & 7 & -2\\4 & 4 & -2\end{pmatrix}\),A,First compute \(2B=\begin{pmatrix}2 & 8 & -4\\-6 & 6 & -2\end{pmatrix}\); then add to \(A\) elementwise to obtain \(\begin{pmatrix}4 & 4 & -1\\-1 & 7 & -2\end{pmatrix}\).,Jamb 2024
Progressions,3,The sum to infinity of a GP is 100. Find its first term if the common ratio is \(-\frac{1}{2}\).,150,155,160,165,A,Since \(S_{\infty}=\frac{a}{1-(-\frac{1}{2})}=\frac{a}{\frac{3}{2}}=100\), it follows that \(a=150\).,Jamb 2024
Geometry,2,PQR is a triangle with \(|PQ|=|QR|=8\) cm and \(\angle QPR=60^\circ\). Find the area of \(\triangle PQR\).,\(16\sqrt{3}\) cm\(^2\),\(16\sqrt{2}\) cm\(^2\),\(8\sqrt{3}\) cm\(^2\),\(16\sqrt{2}\) cm\(^2\),A,Area \(=\frac{1}{2}\times8\times8\times\sin(60^\circ)=16\sqrt{3}\) cm\(^2\).,Jamb 2024
Matrices,3,Evaluate the determinant of \(M=\begin{bmatrix}3 & 4 & 6\\2 & 1 & -1\\-1 & 3 & 5\end{bmatrix}\).,20,25,30,35,C,Expanding the determinant gives 30.,Jamb 2024
Financial Arithmetic,2,Find the total amount if simple interest is paid yearly at $5%$ per annum for 3 years on a principal of #200,000.00.,#23,000.00,#30,000.00,#300,000.00,#230,000.00,D,Interest is \(\frac{200,000\times5\times3}{100}=30,000\), so total \(=200,000+30,000=230,000\).,Jamb 2024
