topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
Inequalities,2,"Solve the inequality \(2-x > x^2\). \(\quad (\text{Jamb 2000}).\)","\(x<-2\) or \(x>1\)","\(x>2\) or \(x<-1\)","\(-1<x<2\)","\(-2<x<1\)",D,"Rearrange the inequality to \(x^2+x-2<0\) which factors as \((x+2)(x-1)<0\). Hence, the solution is \(-2<x<1\)."
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). \(\quad (\text{Jamb 2000}).\)","\(-\frac{5}{3}\)","\(-\frac{2}{3}\)","\(\frac{1}{2}\)","\(\frac{5}{2}\)",D,"By Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\). Then, \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\)."
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. \(\quad (\text{Jamb 2000}).\)","8.0 m","8.4 m","9.0 m","10.0 m",C,"Using similar triangles, the full pyramid has height \(H\) such that \(\frac{1.5}{H-6}=\frac{2.5}{H}\) (where 1.5m is the difference between half the base (2.5m) and half the top (1m)). Solving gives \(H=15\) m; thus, the pyramid’s height above the frustum is \(15-6=9\) m."
Algebra,2,"If \(\frac{(2\sqrt{3}-\sqrt{2})}{(\sqrt{3}+2\sqrt{2})} = m+n\sqrt{6}\), find the values of \(m\) and \(n\) respectively. \(\quad (\text{Jamb 2000}).\)","\(1, -2\)","\(-2, 1\)","\(\frac{-2}{5}, 1\)","\(2, \frac{3}{5}\)",B,"Multiply numerator and denominator by the conjugate \((\sqrt{3}-2\sqrt{2})\). The numerator becomes \( (2\sqrt{3}-\sqrt{2})(\sqrt{3}-2\sqrt{2})=10-5\sqrt{6}\) and the denominator becomes \((\sqrt{3}+2\sqrt{2})(\sqrt{3}-2\sqrt{2})=3-8=-5\). Thus, the expression simplifies to \(\frac{10-5\sqrt{6}}{-5}=-2+\sqrt{6}\), so \(m=-2\) and \(n=1\)."
Sets,2,"In a youth club with 94 members, 60 like modern music, and 50 like traditional music. The number of members who like both is three times those who like neither. How many members like only one type of music? \(\quad (\text{Jamb 2000}).\)","8","24","62","86",C,"Let \(N\) be the number of members who like neither; then those who like both equal \(3N\). The numbers liking only modern and only traditional are \(60-3N\) and \(50-3N\) respectively. Total members: \((60-3N)+(50-3N)+3N+N=110-2N=94\) so \(N=8\). Members liking only one type: \((60-24)+(50-24)=36+26=62\)."
Arithmetic,1,"A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? \(\quad (\text{Jamb 2000}).\)",4,5,6,7,B,"The profit function \(10x-x^2\) is a downward opening quadratic. Its maximum occurs at \(x=-\frac{b}{2a}=\frac{10}{2}=5\)."
Inequalities,2,"Solve the inequality \(2-x > x^2\). \(\quad (\text{Jamb 2000}).\)","\(x<-2\) or \(x>1\)","\(x>2\) or \(x<-1\)","\(-1<x<2\)","\(-2<x<1\)",D,"Rewrite the inequality as \(2-x-x^2>0\), which rearranges to \(x^2+x-2<0\). Factor as \((x+2)(x-1)<0\), so the solution is \(-2<x<1\)."
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). \(\quad (\text{Jamb 2000}).\)","\(-\frac{5}{3}\)","\(-\frac{2}{3}\)","\(\frac{1}{2}\)","\(\frac{5}{2}\)",D,"Using Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\). Thus, \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\)."
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. \(\quad (\text{Jamb 2000}).\)","8.0 m","8.4 m","9.0 m","10.0 m",C,"By similar triangles, the full pyramid’s height \(H\) satisfies \(\frac{1.5}{H-6}=\frac{2.5}{H}\) (since half the base of the pyramid is 2.5m and half the top is 1m). Solving gives \(H=15\) m, so the height above the frustum is \(15-6=9\) m."
Geometry,2,"P is a point on one side of the straight line UV and moves in the same direction as UV. If the straight line ST is the locus of P and \(\angle VUS=50^\circ\), find \(\angle UST\). \(\quad (\text{Jamb 2000}).\)","310°","130°","80°","50°",B,"Using geometric properties of the locus and angle relationships, it is determined that \(\angle UST\) is 130°."
Arithmetic,1,"A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? \(\quad (\text{Jamb 2000}).\)",4,5,6,7,B,"The profit function \(10x-x^2\) reaches its maximum at \(x=-\frac{b}{2a}=\frac{10}{2}=5\), so the optimal number of bags is 5."
Inequalities,2,"Solve the inequality \(2-x > x^2\). \(\quad (\text{Jamb 2000}).\)","\(x<-2\) or \(x>1\)","\(x>2\) or \(x<-1\)","\(-1<x<2\)","\(-2<x<1\)",D,"Rearrange to \(x^2+x-2<0\) which factors to \((x+2)(x-1)<0\), giving \(-2<x<1\)."
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). \(\quad (\text{Jamb 2000}).\)","\(-\frac{5}{3}\)","\(-\frac{2}{3}\)","\(\frac{1}{2}\)","\(\frac{5}{2}\)",D,"Using Vieta's formulas: \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\); thus, \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\)."
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. \(\quad (\text{Jamb 2000}).\)","8.0 m","8.4 m","9.0 m","10.0 m",C,"Let the full pyramid have height \(H\) and base side 5m. Using similar triangles, \(\frac{1.5}{H-6}=\frac{2.5}{H}\) (since half the base is 2.5m and half the top is 1m) leads to \(H=15\) m, so the pyramid’s remaining height is \(15-6=9\) m."
Algebra,2,"If \(\frac{(2\sqrt{3}-\sqrt{2})}{(\sqrt{3}+2\sqrt{2})}= m+n\sqrt{6}\), find the values of \(m\) and \(n\) respectively. \(\quad (\text{Jamb 2000}).\)","\(1, -2\)","\(-2, 1\)","\(\frac{-2}{5}, 1\)","\(2, \frac{3}{5}\)",B,"Multiply numerator and denominator by \((\sqrt{3}-2\sqrt{2})\). The numerator becomes \(10-5\sqrt{6}\) and the denominator becomes \(3-8=-5\). Thus, the expression simplifies to \(-2+\sqrt{6}\), so \(m=-2\) and \(n=1\)."
Sets,2,"In a youth club with 94 members, 60 like modern music, and 50 like traditional music. The number who like both is three times those who like neither. How many members like only one type of music? \(\quad (\text{Jamb 2000}).\)","8","24","62","86",C,"Let \(N\) be those who like neither; then both = \(3N\). Only modern = \(60-3N\) and only traditional = \(50-3N\). Total members: \((60-3N)+(50-3N)+3N+N=110-2N=94\) so \(N=8\). Thus, members liking only one type = \((60-24)+(50-24)=36+26=62\)."
Arithmetic,1,"A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? \(\quad (\text{Jamb 2000}).\)",4,5,6,7,B,"The profit function \(10x-x^2\) reaches its maximum at \(x=\frac{10}{2}=5\)."
Inequalities,2,"Solve the inequality \(2-x > x^2\). \(\quad (\text{Jamb 2000}).\)","\(x<-2\) or \(x>1\)","\(x>2\) or \(x<-1\)","$-1<x<2$","$-2<x<1$",D,"Rewrite as \(x^2+x-2<0\) which factors to \((x+2)(x-1)<0\); hence, \(-2<x<1\)."
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). \(\quad (\text{Jamb 2000}).\)","\(-\frac{5}{3}\)","\(-\frac{2}{3}\)","\(\frac{1}{2}\)","\(\frac{5}{2}\)",D,"Using Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\), so \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\)."
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. \(\quad (\text{Jamb 2000}).\)","8.0 m","8.4 m","9.0 m","10.0 m",C,"Using similar triangles, the full pyramid’s height \(H\) satisfies \(\frac{1.5}{H-6}=\frac{2.5}{H}\). Solving gives \(H=15\) m, so the height above the frustum is \(15-6=9\) m."
Algebra,2,"If \(\frac{(2\sqrt{3}-\sqrt{2})}{(\sqrt{3}+2\sqrt{2})}= m+n\sqrt{6}\), find the values of \(m\) and \(n\) respectively. \(\quad (\text{Jamb 2000}).\)","\(1, -2\)","\(-2, 1\)","\(\frac{-2}{5}, 1\)","\(2, \frac{3}{5}\)",B,"Multiply numerator and denominator by \((\sqrt{3}-2\sqrt{2})\). The numerator becomes \(10-5\sqrt{6}\) and the denominator becomes \(3-8=-5\). Thus, the simplified expression is \(-2+\sqrt{6}\), so \(m=-2\) and \(n=1\)."
Sets,2,"P is a point on one side of the straight line UV and moves in the same direction as UV. If the straight line ST is the locus of P and \(\angle VUS=50^\circ\), find \(\angle UST\). \(\quad (\text{Jamb 2000}).\)","310°","130°","80°","50°",B,"Using geometric angle relationships in the locus, the measure of \(\angle UST\) is found to be 130°."
Arithmetic,1,"A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? \(\quad (\text{Jamb 2000}).\)",4,5,6,7,B,"The quadratic profit function \(10x-x^2\) attains its maximum at \(x=\frac{10}{2}=5\)."
Inequalities,2,"Solve the inequality \(2-x > x^2\). \(\quad (\text{Jamb 2000}).\)","\(x<-2\) or \(x>1\)","\(x>2\) or \(x<-1\)","\(-1<x\) \(<2\)","\(-2<x\)\(<1\)",D,"Rewrite the inequality as \(x^2+x-2<0\), factor it as \((x+2)(x-1)<0\); hence, the solution is \(-2<x<1\)."
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). \(\quad (\text{Jamb 2000}).\)","\(-\frac{5}{3}\)","\(-\frac{2}{3}\)","\(\frac{1}{2}\)","\(\frac{5}{2}\)",D,"Using Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\), so \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\)."
Algebra,2,"A binary operation * is defined by \(a*b = a^b\). If \(a*2=2-a\), find the possible values of \(a\). \(\quad (\text{Jamb 2000}).\)","\(1,-1\)","\(1,2\)","\(2,-2\)","\(1,-2\)",D,"Since \(a*2 = a^2\), we have \(a^2=2-a\). Rearranging gives \(a^2+a-2=0\), which factors as \((a-1)(a+2)=0\). Thus, \(a=1\) or \(a=-2\)."
Algebra,2,"The 3rd term of an A.P is \(4x-2y\) and the 9th term is \(10x-8y\). Find the common difference. \(\quad (\text{Jamb 2000}).\)","\(19x-17y\)","\(8x-4y\)","\(x-y\)","\(2x\)",C,"Let the first term be \(a\) and common difference \(d\). Then \(a+2d=4x-2y\) and \(a+8d=10x-8y\). Subtracting gives \(6d=6x-6y\) so \(d=x-y\)."
Algebra,2,"Find the inverse of \(p\) under the binary operation * defined by \(p*q=p+q-pq\), where zero is the identity. \(\quad (\text{Jamb 2000}).\)","\(p\)","\(p-1\)","\(\frac{p}{p-1}\)","\(\frac{p}{p+1}\)",C,"Set \(p*p' = 0\) (since 0 is the identity), so \(p+p'-pp'=0\). Rearranging, \(p+p' = pp'\). Factoring \(p'\) gives \(p'(p-1)=p\), hence \(p'=\frac{p}{p-1}\)."
Matrices,1,"Evaluate the determinant of the matrix \(M=\begin{bmatrix}3 & 4 & 6\\2 & 1 & -1\\-1 & 3 & 5\end{bmatrix}\). \( \quad (\text{Jamb 2024})\).","20","25","30","35",C,"To find the determinant of a 3×3 matrix, expand along the first row: \(\det(M)=3\det\begin{bmatrix}1 & -1\\3 & 5\end{bmatrix}-4\det\begin{bmatrix}2 & -1\\-1 & 5\end{bmatrix}+6\det\begin{bmatrix}2 & 1\\-1 & 3\end{bmatrix}\). Calculating each minor: \(3[(1)(5)-(-1)(3)]=3(5+3)=24\); \(4[(2)(5)-(-1)(-1)]=4(10-1)=36\); \(6[(2)(3)-(1)(-1)]=6(6+1)=42\). Then, \(\det(M)=24-36+42=30\)."
Finance,2,"Find the amount if simple interest is paid yearly at 5\% per annum for 3 years, on a principal of #200,000.00. \( \quad (\text{Jamb 2024})\).","#23,000.00","#30,000.00","#300,000.00","#230,000.00",D,"Simple interest is calculated using the formula: \(SI=\frac{P\times r\times t}{100}\). Here, \(SI=\frac{200,000\times5\times3}{100}=30,000\). Adding the principal gives the total amount: \(200,000+30,000=230,000\)."
Proportions,2,"\(y\) is inversely proportional to \(x\) and \(y=4\) when \(x=\frac{1}{2}\). Find \(x\) when \(y=10\). \( \quad (\text{Jamb 2024})\).","2","10","\(\frac{1}{5}\)","\(\frac{1}{10}\)",C,"For inverse proportionality, \(y=\frac{k}{x}\). Given \(4=\frac{k}{\frac{1}{2}}\) we find \(k=2\). Then, when \(y=10\), \(10=\frac{2}{x}\) so \(x=\frac{2}{10}=\frac{1}{5}\)."
Combinatorics,1,"In how many ways can 6 people sit around a table? \( \quad (\text{Jamb 2024})\).","120","240","60","30",A,"For circular arrangements, the number of ways is \((n-1)!\). With 6 people, it is \(5! = 120\)."
Geometry,2,"The graph above represents inequalities. \( \quad (\text{Jamb 2024})\).","\(3x+4y\geq12,\;x>0,\;y>0\)","\(3x+4y\leq12,\;x\geq0,\;y\geq0\)","\(3x+4y<12,\;x\leq0,\;y\geq0\)","\(3x+4y<12,\;x\geq0,\;y\geq0\)",B,"From the given graph (with the shaded region in the first quadrant), the inequality that fits is \(3x+4y\leq12\) with \(x\geq0\) and \(y\geq0\), which defines the region under or on the line."
Matrices,1,"Let \(A=\begin{pmatrix}2 & -4 & 3\\5 & 1 & 0\end{pmatrix}\) and \(B=\begin{pmatrix}1 & 4 & -2\\-3 & 3 & -1\end{pmatrix}\). Find \(A+2B\). \( \quad (\text{Jamb 2024})\).","\(\begin{pmatrix}4 & 4 & -1\\-1 & 7 & -2\end{pmatrix}\)","\(\begin{pmatrix}-1 & 4 & -1\\4 & 7 & -2\end{pmatrix}\)","\(\begin{pmatrix}4 & 4 & -1\\7 & 7 & -2\end{pmatrix}\)","\(\begin{pmatrix}-1 & 7 & -2\\4 & 4 & -2\end{pmatrix}\)",A,"First, compute \(2B\) by multiplying each entry of \(B\) by 2, then add the resulting matrix to \(A\) element by element. The result is \(\begin{pmatrix}2+2 & -4+8 & 3-4\\5-6 & 1+6 & 0-2\end{pmatrix}=\begin{pmatrix}4 & 4 & -1\\-1 & 7 & -2\end{pmatrix}\)."
Sequences,2,"The sum to infinity of a GP is 100. Find its first term if the common ratio is \(-\frac{1}{2}\). \( \quad (\text{Jamb 2024})\).","150","155","160","165",A,"For a GP, the sum to infinity is given by \(S_{\infty}=\frac{a}{1-r}\). Here, \(100=\frac{a}{1-(-\frac{1}{2})}=\frac{a}{\frac{3}{2}}\) so that \(a=100\times\frac{3}{2}=150\)."
Triangles,2,"PQR is a triangle such that \(|PQ|=|QR|=8\,\text{cm}\) and \(\angle QPR=60^\circ\). Find the area of \(\triangle PQR\). \( \quad (\text{Jamb 2024})\).","\(16\sqrt{3}\,cm^2\)","\(16\sqrt{2}\,cm^2\)","\(8\sqrt{3}\,cm^2\)","\(16\sqrt{2}\,cm^2\)",A,"Using the area formula for a triangle: \(\text{Area}=\frac{1}{2}ab\sin C\), with \(a=b=8\) and \(C=60^\circ\), we get \(\text{Area}=\frac{1}{2}\times8\times8\times\frac{\sqrt{3}}{2}=16\sqrt{3}\,cm^2\)."
Ratios,1,"The ratio of men to women in a 20-member committee is 3:1. How many women must be added to make the ratio 3:2? \( \quad (\text{Jamb 2024})\).","2","5","7","8",B,"Initially, the committee has \(3+1=4\) parts. Men = \(\frac{3}{4}\times20=15\) and women = 5. To achieve a ratio of 3:2 with 15 men, the number of women should be \( \frac{15\times2}{3}=10\). Therefore, additional women required = \(10-5=5\)."
Operations,2,"If \(p*q=2p+pq+q\), find \(p\) when \((p*2)-(p*1)=40\). \( \quad (\text{Jamb 2024})\).","39","40","41","42",A,"Compute \(p*2=2p+2+2p=4p+2\) and \(p*1=2p+1+p=3p+1\). Their difference is \((4p+2)-(3p+1)=p+1\). Setting \(p+1=40\) gives \(p=39\)."
Statistics,1,"Which of the following is a measure of central tendency? \( \quad (\text{Jamb 2024})\).","Standard deviation","Range","Variance","Mean",D,"Measures of central tendency include the mean, median, and mode. Standard deviation, range, and variance are measures of dispersion. Hence, the correct answer is Mean."
Geometry,2,"From the figure above, find the length of Chord PQ. \( \quad (\text{Jamb 2024})\).","17 cm","18 cm","7 cm","9 cm",A,"Using the properties of circles and chords (and the given diagram), the length of chord PQ is determined to be 17 cm."
Geometry,2,"Identify the equation of the shaded region in the given graph. \( \quad (\text{Jamb 2024})\).","\(y>1\)","\(x<1\)","\(x>1\)","\(y<1\)",A,"Analyzing the graph (with the shaded region provided) shows that the region is represented by the inequality \(y>1\)."
Algebra,2,"Solve \(16^x=0.25\). \( \quad (\text{Jamb 2024})\).","\(-\frac{1}{2}\)","\(\frac{1}{4}\)","\(-\frac{1}{4}\)","\(\frac{1}{2}\)",A,"Express 16 as \(2^4\) and 0.25 as \(\frac{1}{4}=2^{-2}\). Then, \((2^4)^x=2^{4x}=2^{-2}\) so that \(4x=-2\), yielding \(x=-\frac{1}{2}\)."
Arithmetic,1,"A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? \(\quad (\text{Jamb 2000}).\)",4,5,6,7,B,"The profit function \(10x-x^2\) is maximized at \(x=\frac{10}{2}=5\)."
Inequalities,2,"Solve the inequality \(2-x > x^2\). \(\quad (\text{Jamb 2000}).\)","\(x<-2\) or \(x>1\)","\(x>2\) or \(x<-1\)","\(-1<x<2\)","\(-2<x<1\)",D,"Rewrite the inequality as \(x^2+x-2<0\), factor as \((x+2)(x-1)<0\), so the solution is \(-2<x<1\)."
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). \(\quad (\text{Jamb 2000}).\)","\(-\frac{5}{3}\)","\(-\frac{2}{3}\)","\(\frac{1}{2}\)","\(\frac{5}{2}\)",D,"By Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\), so \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\)."
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. \(\quad (\text{Jamb 2000}).\)","8.0 m","8.4 m","9.0 m","10.0 m",C,"Let the full pyramid have height \(H\) and base side 5m. Using similar triangles, \(\frac{1.5}{H-6}=\frac{2.5}{H}\) (since half the base is 2.5m and half the top is 1m) yields \(H=15\) m, so the pyramid’s height above the frustum is \(15-6=9\) m."
Algebra,2,"A binary operation * is defined by \(a*b = a^b\). If \(a*2=2-a\), find the possible values of \(a\). \(\quad (\text{Jamb 2000}).\)","\(1,-1\)","\(1,2\)","\(2,-2\)","\(1,-2\)",D,"Since \(a*2 = a^2\), solve \(a^2=2-a\) which leads to \(a^2+a-2=0\). Factor as \((a-1)(a+2)=0\), yielding \(a=1\) or \(a=-2\)."
Algebra,2,"The 3rd term of an A.P is \(4x-2y\) and the 9th term is \(10x-8y\). Find the common difference. \(\quad (\text{Jamb 2000}).\)","\(19x-17y\)","\(8x-4y\)","\(x-y\)","\(2x\)",C,"Let \(a\) be the first term and \(d\) the common difference. Then, \(a+2d=4x-2y\) and \(a+8d=10x-8y\). Subtracting yields \(6d=6x-6y\) so \(d=x-y\)."
Algebra,2,"Find the inverse of \(p\) under the binary operation * defined by \(p*q=p+q-pq\), where zero is the identity. \(\quad (\text{Jamb 2000}).\)","\(p\)","\(p-1\)","\(\frac{p}{p-1}\)","\(\frac{p}{p+1}\)",C,"Set \(p*p' = 0\) so that \(p+p'-pp'=0\), which rearranges to \(p'+p=pp'\). Factoring gives \(p'(p-1)=p\), so \(p'=\frac{p}{p-1}\)."
Arithmetic,1,"A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? \(\quad (\text{Jamb 2000}).\)",4,5,6,7,B,"The quadratic profit function \(10x-x^2\) reaches its maximum at \(x=\frac{10}{2}=5\)."
Inequalities,2,"Solve the inequality \(2-x > x^2\). \(\quad (\text{Jamb 2000}).\)","\(x<-2\) or \(x>1\)","\(x>2\) or \(x<-1\)","\(-1<x<2\)","\(-2<x<1\)",D,"Rewrite the inequality as \(x^2+x-2<0\), which factors to \((x+2)(x-1)<0\); therefore, \(-2<x<1\)."
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). \(\quad (\text{Jamb 2000}).\)","\(-\frac{5}{3}\)","\(-\frac{2}{3}\)","\(\frac{1}{2}\)","\(\frac{5}{2}\)",D,"Using Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\); thus, \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\)."
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. \(\quad (\text{Jamb 2000}).\)","8.0 m","8.4 m","9.0 m","10.0 m",C,"Let the full pyramid have height \(H\) and base side 5m. By similar triangles, \(\frac{1.5}{H-6}=\frac{2.5}{H}\). Solving gives \(H=15\) m, so the height above the frustum is \(15-6=9\) m."
