question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,tags,source,status,source_pdf,source_page,pdf_question_number,needs_answer_key,needs_option_review,needs_image_review
MTH-1988-034,JAMB,Mathematics,Past Questions,,medium,1988,,"A quadrilateral of a circle of radius 6cm is cut away
from each corner of a rectangle 25cm long and 18cm
wide. Find the perimeter of the remaining figure",,38cm,(38+12p)cm,(86-12p)cm,(86 - 6p)cm,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,20,34,yes,no,no
MTH-1988-035,JAMB,Mathematics,Past Questions,,medium,1988,,"In the figure above STQ = SRP, PT = TQ = 6cm and QS
= 5cm. Find SR.",,47/5,5,37/5,22/5,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,20,35,yes,no,yes
MTH-1988-036,JAMB,Mathematics,Past Questions,,medium,1988,,"Four interior angles o f a pentagon are 900 – x0, 900 + x0,
100 – 2x0, 1100 + 2x0. find the fifth interior angle.",,1100,1200,1300,1400,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,20,36,yes,no,no
MTH-1988-037,JAMB,Mathematics,Past Questions,,medium,1988,,"50O
In the figure above, PS = RS = QS and QSR = 500. find
QPR.",,250,400,500,650,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,37,yes,no,yes
MTH-1988-038,JAMB,Mathematics,Past Questions,,medium,1988,,"R
Z
55O
45O
Y
X
P
Q
In the figure above, XR and YQ are tangents to the
circle YZXP if ZXR = 450 and YZX = 550 find ZYQ.",,1350,1250,1000,900,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,38,yes,no,yes
MTH-1988-039,JAMB,Mathematics,Past Questions,,medium,1988,,"From a point 143 metres away from a tree, a man
discovers that the angle of elevation of the tree is 300.
If the man measures this angle of elevation from a point
2meters above the ground how high is the tree?",,12m,14m,143m,16m,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,39,yes,no,no
MTH-1988-040,JAMB,Mathematics,Past Questions,,medium,1988,,"Alero starts a 3km walk from P on a bearing 0230. she
then walks 4km on a bearing 1130 to Q what is the bearing
of Q from P?",,26052’,5208’,7608’,900,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,40,yes,no,no
MTH-1988-041,JAMB,Mathematics,Past Questions,,medium,1988,,"If cot q = x/y, find cosec q",,1/y(x2+y),(x/y),1/y(x2+y),y/x,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,41,yes,no,no
MTH-1988-042,JAMB,Mathematics,Past Questions,,medium,1988,,"In triangle PQR, PQ = 1cm, QR = 2cm and PQR = 1200.
Find the longest side of the triangle",,3,3 7/7,3 7,7,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,42,yes,no,no
MTH-1988-044,JAMB,Mathematics,Past Questions,,medium,1988,,"If a metal pipe 10cm long has an external diameter of
12cm and a thickness of 1cm, find the volume of the
metal used in making the pipe.",,120pcm3,110pcm3,60pcm3,50pcm3,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,44,yes,no,no
MTH-1988-045,JAMB,Mathematics,Past Questions,,medium,1988,,"60 cm
30 cm
In the figure above, a solid consists of a hemisphere
surmounted by a right circular cone with radius 3.0cm
and height 6.0cm. find the volume of the solid.",,18pcm3,36pcm3,54pcm3,108pcm3,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,45,yes,no,yes
MTH-1988-046,JAMB,Mathematics,Past Questions,,medium,1988,,"PQR is a triangle in which PQ= 10ccm and QPR = 600. S
is a point equidistant from P and Q. also S is a point
equidistant from PQ and PR. If U is the foot of the
perpendicular from S on PR, find the length SU in cm to
one decimal place.",,2.7,2.9,3.1,3.3,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,46,yes,no,no
MTH-1988-047,JAMB,Mathematics,Past Questions,,medium,1988,,"In a class of 150 students, the sector in a pie chart
representing the students offering Physics has angle
120. How many students are offering Physics?",,18,15,10,5,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,47,yes,no,yes
MTH-1988-048,JAMB,Mathematics,Past Questions,,medium,1988,,"If x and y represents the mean and the median respectively
of the following set of numbers; 11,
12,13,14,15,16,17,18,19,21,. Find x/y correct to one
decimal place.",,1.6,1.2,1.1,1.0,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,48,yes,no,no
MTH-1988-049,JAMB,Mathematics,Past Questions,,medium,1988,,"In the distribution above, the mode and the median
respectively are",,1.3,1.2,3.3,0.2,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,49,yes,no,no
MTH-1988-050,JAMB,Mathematics,Past Questions,,medium,1988,,"If two dice are thrown together, what is the probability
of obtaining at least a score of 10?",,1/6,1/12,5/6,11/12,,,,mathematics|jamb|1988|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,21,50,yes,no,no
MTH-1989-001,JAMB,Mathematics,Past Questions,,medium,1989,,Which of the following is in descending order?,,"9/10,4/5,3/4,17/10","4/5,9/10,3/4,17/20","6/10,17/20,4/5,3/4","4/5,9/10,17/10,3/4",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,1,yes,no,no
MTH-1989-002,JAMB,Mathematics,Past Questions,,medium,1989,,"Evaluate 2,700, 000 x 0.03 ¸ 18,000",,4.5 x 100,4.5 x 101,4.5 x 102,4.5 x 103,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,2,yes,no,no
MTH-1989-003,JAMB,Mathematics,Past Questions,,medium,1989,,"The prime factors of 2,520 are",,"2,9,5,","2,9,7,","2,3,5,7,","2,3,7,9,",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,3,yes,no,no
MTH-1989-004,JAMB,Mathematics,Past Questions,,medium,1989,,"If 12 = X find x where e = 12
e 7",,20,15,14,12,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,4,yes,no,no
MTH-1989-005,JAMB,Mathematics,Past Questions,,medium,1989,,Simplify 364r -6)1/2,,r,2r,1/2r,2/r,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,5,yes,no,no
MTH-1989-006,JAMB,Mathematics,Past Questions,,medium,1989,,"What is the difference between 0.007685 correct to three
significant figures and 0.007685 correct to four places
of decimal?",,10-5,7 x 10-4,8 x 10-5,10 -6,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,6,yes,no,no
MTH-1989-007,JAMB,Mathematics,Past Questions,,medium,1989,,"If a : b = 5: 8, x : y = 25 : 16, evaluate a/x : b/y",,125:128,3:5,3:4,2:5,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,7,yes,no,no
MTH-1989-008,JAMB,Mathematics,Past Questions,,medium,1989,,"Oke deposited #800.00 in the bank aat the rat of 12 %
1/2
simple interest. After some time the total amount was
one and half times the principal. For how many years
was the money left in the bank",,2,4,51/,"8
2",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,8,yes,no,no
MTH-1989-009,JAMB,Mathematics,Past Questions,,medium,1989,,"If the surface area of a sphere is increased by 44%.
Find the percentage increase in its diameter.",,44,30,22,20,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,9,yes,no,no
MTH-1989-010,JAMB,Mathematics,Past Questions,,medium,1989,,"Simplify 4 - 1
(2-3)",,23,"........................ 2., 3",–2 + 3,"2, -3",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,10,yes,no,no
MTH-1989-011,JAMB,Mathematics,Past Questions,,medium,1989,,"Find p in terms of q if Log p + 3log q = 3
3 3",,(3)3,"(q)1/3
(q) (3)",(q)3,"(3)1/3
(3) (q)",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,11,yes,no,no
MTH-1989-012,JAMB,Mathematics,Past Questions,,medium,1989,,"What are the values of y which satisfy the equation
9y – 4 ( 3y) + 3 = 0",,-1 and 0,–1 and 1,1 and 3,0 and 1,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,12,yes,no,no
MTH-1989-013,JAMB,Mathematics,Past Questions,,medium,1989,,"Make R the subject of the formula
S = (R + )
(3RT)",,R = T,"T
(TS2 - 1) 2(TS2 - 1)
C R = T",,"T
(TS2 + 1) 2(TS2 + 1)",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,13,yes,yes,no
MTH-1989-014,JAMB,Mathematics,Past Questions,,medium,1989,,"Find the value of the expression
32 - 64 81 when x = -3/4
81x3 xx2 16",,101/,101/,"33/
2","–13
61
/
8 2",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,14,yes,no,no
MTH-1989-015,JAMB,Mathematics,Past Questions,,medium,1989,,"The cost of dinner for a group of students is partly
cconstant and partly varies directly as the number of
students. If the cost is #74.00 when the number of
students is 20, and #96.00 when the number is 30, find
the cost when there are 15 students.",,#68.50,#63.00,#60.00,#52.00,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,15,yes,no,no
MTH-1989-016,JAMB,Mathematics,Past Questions,,medium,1989,,"If f(x) = 2x2 + 5x + 3, find f(x + 1)",,2x2 – x,2x2 – x + 10,4x2 + 3x + 2,4x2 + 3x + 12,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,16,yes,no,no
MTH-1989-017,JAMB,Mathematics,Past Questions,,medium,1989,,"Solve the positive number x such that
2(x3 – x2 – 2x) = 1",,4,3,2,1,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,17,yes,no,no
MTH-1989-018,JAMB,Mathematics,Past Questions,,medium,1989,,"Simplify (32x - 4x2)
(2x + 18)",,2(x - 9),2(9 + x ),81 – x2,–2(x - 9),,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,18,yes,no,no
MTH-1989-019,JAMB,Mathematics,Past Questions,,medium,1989,,Factorize completely y3 – 4xy + xy3 – 4y,,(x + xy)(y + 2)(y - 2),(y + xy)(y + 2)(y - 2),y(1 + x)(y + 2)(y - 2),y(1 - x)(y + 2)(y - 2),,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,19,yes,no,no
MTH-1989-020,JAMB,Mathematics,Past Questions,,medium,1989,,"If one of x3 – 8-1 is x – 2–1 , the other factors is",,x2 + 2-1 x – 4-1,x2 - 2-1 x – 4-1,x2 + 2-1 x + 4-1,x2 + 2-1 x –4-1,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,20,yes,no,no
MTH-1989-021,JAMB,Mathematics,Past Questions,,medium,1989,,Factorize 4a2 + 12ab – c2+ 9b2,,4a(a – 3b) + (3b - c)2,(2a + 3b – c )(2a + 3b + c),(2a – 3b -c)(2a –3b + c),4a(a – 3b) + (3b +c)2,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,21,yes,no,no
MTH-1989-022,JAMB,Mathematics,Past Questions,,medium,1989,,"What are K and L respectively if ½ (3y – 4x)2 = (8x2 +
kxy + Ly2)",,"-12, 9/2","–6, 9","6, 9","12, 9/2",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,22,22,yes,no,no
MTH-1989-023,JAMB,Mathematics,Past Questions,,medium,1989,,"Solve the pair of equation for x and y respectively
2x-1 – 3y-1 = 4
4x-1 + y-1 = 1",,"-1,2","1,2","2,1","2,-1",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,23,yes,no,no
MTH-1989-024,JAMB,Mathematics,Past Questions,,medium,1989,,"What value of Q will make the expression 4x2 + 5x + Q a
complete square?",,25/16,25/64,5/8,5/4,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,24,yes,no,no
MTH-1989-025,JAMB,Mathematics,Past Questions,,medium,1989,,"Find the range of values of r which satisfies the following
inequality, where a, b and c are positive. r/a+r/b+r/c >1",,r> abc,"r>abc
bc + ac + ab",r > 1/a + 1/b + 1/c,r>1/abc,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,25,yes,no,no
MTH-1989-026,JAMB,Mathematics,Past Questions,,medium,1989,,"Express 1 - 1
(x + 1) (x - 2)",,-3,"3
(x +1)(2-x) (x+1)2-X)",-1,"1
(x+1)(x-2) (x+1)(x-2)",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,26,yes,no,no
MTH-1989-027,JAMB,Mathematics,Past Questions,,medium,1989,,"Simplify x - (x+ 1 ) 1/2
(x + 1) (x + 1) 1/2",,1,"- 1
x + 1 x + 1",1,"1
x x + 1",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,27,yes,no,no
MTH-1989-028,JAMB,Mathematics,Past Questions,,medium,1989,,"y
b
a g
m
c k h
d f l x
-1 1 2 3 i 4 5 6
j
e
On the curve above, the points at which the gradient of
the curve is equal to zero are",,c.d.f.i.l,b.e.g.j.m,a.b.c.d.f.i.j.l.,c.d.f.h.i.l,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,28,yes,no,no
MTH-1989-029,JAMB,Mathematics,Past Questions,,medium,1989,,"The sum of the first two terms of a geometric progression
is x and the sum of the last two terms is y. if there are n
terms in all, then the common ratio is",,x/y,y/x,(x/y)1/2,(y/x)1/2,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,29,yes,no,no
MTH-1989-030,JAMB,Mathematics,Past Questions,,medium,1989,,"If –8, m,n, 19 in arithmetic progression, find (m, n)",,"1,10","2,10","3,13","4,16
M",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,30,yes,no,no
MTH-1989-031,JAMB,Mathematics,Past Questions,,medium,1989,,"N
Q
R
MN is a tagent to the given circle at M, MR and MQ are
two chords. If QMN is 600 and MNQ is 400, find RMQ",,1200,110,600,200,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,31,yes,no,no
MTH-1989-032,JAMB,Mathematics,Past Questions,,medium,1989,,"P
H K
Q R
In the diagram above, HK is prallel to QR, PH = 4cm and
HQ = 3cm. What is the ratio of KR;PR?",,7:3,3:7,3:4,4:3,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,32,yes,no,yes
MTH-1989-033,JAMB,Mathematics,Past Questions,,medium,1989,,"A regular polygon of (2k + 1) sides has 1400 as the size
of each interior angel. Find K.",,4,"41/
2",8,"81/
2
S",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,33,yes,no,no
MTH-1989-034,JAMB,Mathematics,Past Questions,,medium,1989,,"T
24O
P R
Q
If PST is a straight line and PQ = QS = SR in the above
diagram, find y",,240,480,720,840,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,34,yes,no,no
MTH-1989-035,JAMB,Mathematics,Past Questions,,medium,1989,,"S
P
R 60O
Q
In the above diagram PQ is parallel to RS and QS bisects
PQR. If PQR is 600, find x",,300,400,600,1200,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,35,yes,no,no
MTH-1989-036,JAMB,Mathematics,Past Questions,,medium,1989,,PQRS is a rhombus. If PR2 + QS2 = kPQ2. Determine k.,,1,2,3,4,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,23,36,yes,no,no
MTH-1989-037,JAMB,Mathematics,Past Questions,,medium,1989,,"In DXYZ, Y = Z = 300 and XZ = 3cm find YZ",,3/2cm,33/2cm,33cm,23cm,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,37,yes,no,no
MTH-1989-038,JAMB,Mathematics,Past Questions,,medium,1989,,"In DPQR, the bisector of QPR meets QR at S. the line PQ
is produced to V and the bisector of VQS meets PS
produced at T. if QPR = 460 and QST = 750, calculate
QTS",,410,520,640,"820
Y",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,38,yes,no,no
MTH-1989-039,JAMB,Mathematics,Past Questions,,medium,1989,,"S
3yO
yO 56O
P R
Q",,620,560,202/ 0,"182/ 0
3 3",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,39,yes,no,no
MTH-1989-040,JAMB,Mathematics,Past Questions,,medium,1989,,"R
Z
X
S T
If x : y = 5:12 and z = 52cm, find the perimeter of the
triangle.",,68cm,84cm,100cm,120cm,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,40,yes,no,no
MTH-1989-041,JAMB,Mathematics,Past Questions,,medium,1989,,"The pilot of an aeroplane, flying 10km above the ground
in the direction of a landmark, views the landmark to
have angle of depression of 350 and 550. find the distance
between the two points of observation",,10(sin 350 – sin 550),10(cos 350 – cos 550),10(tan 350 – tan 550),10(cot 350 – cot 550),,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,41,yes,no,no
MTH-1989-042,JAMB,Mathematics,Past Questions,,medium,1989,,"A sin2x – 3 = 0, find x if 0 < x < 900",,300,450,600,900,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,42,yes,no,no
MTH-1989-043,JAMB,Mathematics,Past Questions,,medium,1989,,"A square tile has side 30cm. How many of these tiles
cover a rectangular floor of length 7.2cm and width",,,,,,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,43,yes,yes,no
MTH-1989-044,JAMB,Mathematics,Past Questions,,medium,1989,,"A cylindrical metal pipe 1m long has an outer diameter
of 7.2cm and an inner diameter of 2.8cm. find the volume
of metal used for the cylinder.",,440pcm3,"1,100pcm3","4,400pcm3","11,000pcm3",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,44,yes,no,no
MTH-1989-045,JAMB,Mathematics,Past Questions,,medium,1989,,"O
X
W
T
Y
Z
OXYZW is a pyramid with a square base such that OX
= OY = OZ = OW = 5cm and XY = XW = YZ = WZ =
6cm. Find the height OT.",,25,3,4,7,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,45,yes,no,no
MTH-1989-046,JAMB,Mathematics,Past Questions,,medium,1989,,"In preparing rice cutlets, a cook used 75g of rice, 40g of
margarine, 105g of meat and 20g of bread crumbs. Find
the angle of the sector which represents meat in a pie
chart.",,300,600,112.50,157.50,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,46,yes,no,no
MTH-1989-047,JAMB,Mathematics,Past Questions,,medium,1989,,"In a class of 30 students, the marks scored in an
examination are displayed in the following histogram.
s
t
n
e 10
d
u
t
s
f 8
o
o
.
N 6
4
2
0",,,,,,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,47,yes,yes,no
MTH-1989-048,JAMB,Mathematics,Past Questions,,medium,1989,,"In a family of 21 people, the average age is 14years. If
the age of the grandfather is not counted, the average
age drops to 12years. What is the age of the
grandfather?",,35years,40years,42years,54years,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,48,yes,no,no
MTH-1989-049,JAMB,Mathematics,Past Questions,,medium,1989,,"If n is the median and m is the mode of the following set
of numbers,2.4,2.1,1.6,2.6,2.6,3.7,2.,1,2.6, then (n, m) is",,"(2.6,2.6)","(2.5,2.6)","(2.6,2.5)","(2.5,2.1)",,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,49,yes,no,no
MTH-1989-050,JAMB,Mathematics,Past Questions,,medium,1989,,"The numbers are chosen at random from three numbers
1,3,6. find the probability that the sum of the two is not
odd.",,2/3,½,1/3,1/6,,,,mathematics|jamb|1989|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,24,50,yes,no,no
MTH-1990-001,JAMB,Mathematics,Past Questions,,medium,1990,,"Simplify (43/4 - 61/4)
(41/5 of 1 1/4)",,-77/,"–2/7
8",–10/21,10/21,,,,mathematics|jamb|1990|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,25,1,yes,no,no
MTH-1990-002,JAMB,Mathematics,Past Questions,,medium,1990,,The H.,,b,a + b,a(a + b),abx (a2 – b2),,,,mathematics|jamb|1990|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,25,2,yes,no,no
MTH-1990-003,JAMB,Mathematics,Past Questions,,medium,1990,,Correct 241.34 (3 x 10-3)2 to 4 significant figures,,0.0014,0.001448,0.0022,0.002172,,,,mathematics|jamb|1990|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,25,3,yes,no,no
MTH-1990-004,JAMB,Mathematics,Past Questions,,medium,1990,,"At what rate would a sum of #100.00 deposited for 5
years raise an interest of #7.50?",,11/ %,"21/ %
2 2",15%,25%,,,,mathematics|jamb|1990|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,25,4,yes,no,no
MTH-1990-005,JAMB,Mathematics,Past Questions,,medium,1990,,"Three children shared a basket of mangoes in such a
way that the first child took ¼ of the mangoes and the
second ¾ of the remainder. What fraction of the
mangoes did the third child take?",,3/16,7/16,9/16,13/16,,,,mathematics|jamb|1990|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,25,5,yes,no,no
MTH-1990-006,JAMB,Mathematics,Past Questions,,medium,1990,,"Simplify and express in standard form
(0.00275 x 0.00640/( 0.025 x 0.08)",,8.8 x 10-1,8.8 x 102,8.8 x 10-3,8.8 x 103,,,,mathematics|jamb|1990|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,25,6,yes,no,no
MTH-1990-007,JAMB,Mathematics,Past Questions,,medium,1990,,"Three brothers in a business deal share the profit at the
end of contract. The first received 1/3 of the profit and
the second 2/3 of the remainder. If the third received
the remaining #12.000.00, how much profit did they
share?",,"#60,000.00","#54,000.00","#48,000.00","#42,000.00",,,,mathematics|jamb|1990|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,25,7,yes,no,no
MTH-1990-008,JAMB,Mathematics,Past Questions,,medium,1990,,Simplify  160r2+  (71r4 + 100r3,,9r2,12 3r,13r,13r,,,,mathematics|jamb|1990|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,25,8,yes,no,no
